body,company,location,salary,title
"We Are

Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us? Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses,widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds? Visit us here to find out more about Applied Intelligence.

You Are

A data specialist with serious analytical and statistical chops. You know how to take massive amounts of data and find the insights our clients need to help their companies do more.

The Work
• Use statistics, data mining, machine learning, and deep learning techniques to deliver data driven insights for the resources industry
• Work with... Accenture teams and clients to understand their challenges and create solutions
• Work with Accenture teams and clients to understand their challenges and create solutions
• Be a thought leader for your team on projects and about leading technologies
• Stay on top of trends in AI",Accenture,"Arlington County, Arlington, VA",$48.2k–196k,Data Science Consultant
"Button’s mission is to build a better way to do business in mobile. Today, we work with some of the largest and most interesting businesses in the world, to connect consumers with what they want at the tap of a button. We build with the consumer experience in mind, and we have a reputation for paving the future of mobile and enjoying the road to get there. Data is at the very core of proving we’re on the right track—and that's where you come in.

As a member of our Data Analytics Team, you will be responsible for empowering everyone at Button to access and use data to advance the business. You will be a partner to our customer success, finance, marketing and product engineering teams, preparing them with key insights from challenging datasets. As an early employee, you will have a foundational role in shaping how the company draws key insights and uses data effectively and consistently in order to drive our business forward.
AS A DATA SCIENTIST YOU WILL:
• Work with our data... warehousing systems to design, build, and maintain analyses and performance visualizations for key customers, major product initiatives, and other internal needs.
• Democratize data at Button by helping to define KPIs, metrics and key terminology that allows the company to communicate and measure ideas consistently.
• Work closely with engineers and data scientists to design and execute on-the-fly experiments, like A/B and multivariate testing of consumer/client facing product features.
• Partner with our customer success, sales and finance teams to tackle their data challenges in short (weekly) tasks or long (quarterly) projects.

WE LOOK FOR TEAMMATES WHO HAVE:
• Experience with SQL and BI tools. We use Tableau, but experience in similar tools like Looker is great too.
• Familiarity with a variety of data sources, such as Redshift, APIs, S3 logs and Athena.
• An open and active approach to sharing knowledge as well as excellent communication skills
• Programming experience in one or more application or systems languages like Python
• Expert critical thinking, problem solving and analytical skills

WHO YOU WILL WORK WITH:
• Wilson Tsao, Analytics Manager: Wilson is a member of the Data Science team at Button. Previously he was in similar roles at Eventbrite, Yingli Solar, and Goldman Sachs. He enjoys playing and watching basketball in his spare time.
• Brad Groff, Director of Data: Brad is the head of the Data team at Button. Before joining us, he ran data science and data engineering at Ordergroove, and managed data science teams at Capital One and Booz Allen Hamilton. In his free time, he can be found engaging in lengthy discussions with his toddler on topics such as which colors are his favorite colors and why, how some monsters can be nice and others can be mean (but sometimes just because they're hungry), and which things are the silliest things.
• Leo Chiang, Data Scientist: Leo is a Data Scientist focused on Analytics at Button. He will nerd out with you over podcasts, music, or running any time! Prior to Button, Leo worked on Progressive campaigns and led a data team at Everytown for Gun Safety.
• Gabriella Porrino, Partner Success Manager: Gabriella works for and with our partners to ensure they are getting the most value (and joy!) out of our platform. In her spare time, Gabriella bikes around NYC in search of tacos and/or vegan desserts.
• Wyatt Harms, Partner Success Manager: Wyatt works on Button's revenue team helping publishers scale in our marketplace so we can make Button the next big tech company. He's a big fan of summer nights on Button's rooftop and podcasts, among other things.

Button is committed to being a welcoming and inclusive workplace for everyone, and we are intentional about making sure people feel respected, supported and connected at work—regardless of who you are or where you come from. We value and celebrate our differences and we believe being open about who we are allows us to do the best work of our lives.

Button is an Equal Opportunity Employer. We do not discriminate against qualified applicants or employees on the basis of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by federal, state, or local law, rule, or regulation",Button,"New York, NY",$92k–149k,Data Scientist
"Job Summary: The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization, personalization, recommendations and efficiency related challenges, in close collaboration with engineering and business partners. In this role, you will build and apply machine learning techniques and modern statistics to data both augment decision-making but to also significantly improve operational process problems through automation. You will collaborate across teams to define problems and develop automated solutions with the Data, Product and Engineering teams to be built into our products.

Responsibilities:
• Reframe objectives as machine learning tasks that can deliver actionable insights, accurate predictions, and effective optimization.
• Implement and execute machine learning with reliability and reproducibility.
• Explain how models and systems work to both non-technical and technical stakeholders.
•... Collaborate with engineering teams to build data-based products and help integrate into the products and operational processes.
• Process, cleanse, and verify the integrity of data used for analysis.
• Enhance data collection procedures to include information that is relevant for creating better ML models.
• Create automated anomaly detection systems and constant tracking of its performance.
Basic Qualifications:
• Demonstrated ability to present data science results and recommendations to business and technical clients.
• 3+ years of experience as a Data Scientist in technology sector.
• Demonstrated delivery of machine learning techniques in real-time applications.
• Expertise in modern statistics/data science/machine learning.
• Expertise in a statistical programming language (we use Python and R internally) and data access tools (e.g. SQL).
• Experience with deep learning, NLP, Neural Networks, and/or Bayesian modeling.
• Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate

Required Education
• Graduate degree with background in statistics or machine learning.

About Disney Streaming Services:

Disney Streaming Services is responsible for developing and operating The Walt Disney Company’s direct-to-consumer video businesses globally, including the ESPN+ premium sports streaming service; the upcoming Disney subscription video service; and BAMTECH Media, a global leader in direct-to-consumer video streaming products and solutions. Our core mission is to deliver global audiences the freedom to access content on their terms across any connected device, time or location. We serve consumers by bringing the world’s most beloved characters, timeless stories, legendary athletes, and epic sporting events to global audiences through best-in-class direct-to-consumer video services. We strive daily to imaginatively challenge convention with innovative technology that gives consumers the freedom to access content on their terms across any connected device, time or location.

About The Walt Disney Company:

The Walt Disney Company, together with its subsidiaries and affiliates, is a leading diversified international family entertainment and media enterprise with the following business segments: media networks, parks and resorts, studio entertainment, consumer products and interactive media. From humble beginnings as a cartoon studio in the 1920s to its preeminent name in the entertainment industry today, Disney proudly continues its legacy of creating world-class stories and experiences for every member of the family. Disney’s stories, characters and experiences reach consumers and guests from every corner of the globe. With operations in more than 40 countries, our employees and cast members work together to create entertainment experiences that are both universally and locally cherished.

This position is with Disney Streaming Services LLC, which is part of a business segment we call Disney Streaming Services.

Disney Streaming Services LLC is an equal opportunity employer. Applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Disney fosters a business culture where ideas and decisions from all people help us grow, innovate, create the best stories and be relevant in a rapidly changing world",Streaming Services,"New York, NY",$92k–149k,Data Scientist
"Hinge is hiring a Data Scientist to join the team. As the newest member of the data science team, you will continuously glean actionable insight from massive amounts of data for the purpose of driving product and business decisions.
What You’ll Do
Translate product and business objectives to data science problems and vice versa.
Define and report key performance metrics.
Develop methodologies in sampling, A/B testing, and survey design.
Apply statistical inference to draw rigorous conclusions from data.
Use a combination of exploratory analysis and data mining techniques to identify and interpret trends and anomalies.
Communicate results and make actionable recommendations to stakeholders in Product, Marketing, and Community.
About You
2+ years of experience as a data scientist or quantitative researcher
Proficiency in SQL
Proficiency in Python or R, especially with data manipulation, analysis, and visualization packages
Strong theoretical and practical knowledge of statistics
Solid... understanding of machine learning principles and models
Experience with business analytics and A/B testing
Strong sense of intellectual curiosity and comfort with ambiguity
Exceptional communication skills as demonstrated by the ability to explain complex concepts to both technical and non-technical audiences
Ability to balance rigor with practicality
Bonus Points:
Familiarity with Looker
Working knowledge of Linux (command line)
Objectives in the first three months
Learn to work with the main data sources and tools at Hinge.
Familiarize with the Data Science team’s ongoing projects and propose some ideas for iteration.
Deliver one major analytics project for Product, Marketing, or Community from start to finish.
Our Company
We believe the quality of your relationships determines the quality of your life. So when it comes to your most important relationship, it makes sense to take a more thoughtful approach. Hinge provides an alternative to swipe culture by creating smart matches and natural conversations among people who are on the same page. That’s why 75% of our first dates turn into second dates, and why we’re the #1 mobile-first dating app mentioned in the NYTimes Wedding section. Hinge is where the next generation is going when they’re over dating games and ready to find meaningful connections.
Our Culture
Open: Invite and deeply consider challenges and criticism.
Candid: Share your genuine thoughts and opinions directly, in real time.
Kind: Be empathetic, communitarian and trustworthy.
Bold: Proactively identify and pursue opportunity. Think big and don’t be afraid to take calculated risks.
Discerning: Think and act using the appropriate combination of principles, common sense, data, and insight.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",Hinge,"New York, NY",$50k–200k,"Data Scientist, Analytics"
"Asset management & cutting-edge financial services firm in Manhattan needs hands-on Data Scientist!

Our technology platform combines market intelligence & AI to consistently elevate ROI. We're scaling out our product to allow for ever greater gains. We are small and robust currently, with just under 50 employees, located centrally just North of Midtown Manhattan, and we offer comprehensive compensation packages for those with the right skill set and fit.

What You Need for this Position

We are seeking a Data Scientist with -
• Python
• R
• heavy analytics experience
• SQL
• statistics
• algorithmic development
• Machine Learning
• experience working in finance, fin-tech, or financial markets
If you are a Data Scientist with fin-tech experience, please apply today!

Email Your Resume In Word To

Looking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:

Remy.Schor@cybercoders.com
•... Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : RS2-1503048 -- in the email subject line for your application to be considered.***
Remy Schor - Sr. Executive Recruiter - CyberCoders

Applicants must be authorized to work in the U.S.

CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire",CyberCoders,"New York, NY",,"Data Scientist - Python, R, Data Science - Manhattan"
"Job Description:

As a Director of Data Science and Analytics you will be responsible for building and leading a team of Data Strategists and Data Scientists who play a key role in growing Marks Paneth’s Data Science and Analytics Practice. Your mission is to ensure our clients are enabled with the best-in-class analytical insights and supporting data to ensure optimal business outcomes. In addition, you will interface with other practices across multiple industries to introduce the benefits of data science and analytics as it relates to Marks Paneth’s accounting, tax and advisory services. The ideal candidate is someone with a background in a quantitative discipline that has a passion for crafting data-driven value-based narratives, engaging with clients, and a proven ability to manage in a fast-paced and fluid environment.

Responsibilities:

· Lead the ongoing development of a scalable practice that enable Marks Paneth’s clients to benefit from analytic insights, analytical tools... and data science techniques.

· Drive the strategy and data-driven narrative for Marks Paneth’s Business Value frameworks/toolkit and engage directly with top-tier prospects or clients to help demonstrate value of the Marks Paneth solution

· Oversee the development of industry insights and data-driven thought leadership in order to reinforce Marks Paneth’s technological vision and marketplace eminence

· Define the statistical methods and analytical techniques required to fine tune our client’s analytic proformas.

· Lead the development of best-in-class training materials, client-facing decks, and templates to support analytical education and enablement both internally and externally

Requirements:

· Experience in building teams of information technology professionals.

· 15+ years of work experience working in a data-centric and client-facing role preferably with relevant data science and analytics background.

· Experience leading cross-functional agile work streams and scaling data-driven initiatives.

· Experience leading data transformation efforts from on premise to cloud environments

· Thorough understanding of the analytic ecosystem, meta data, contextual mapping and geospatial analysis.

· Full fluency in analytic/database management software and tool development using SQL, Python, or other analytical languages/software’s (e.g. Qlik, Power BI, Tableau, Alteryx, etc.)

· Exceptional multi-tasking, project management, and leadership skills

· Strong communication skills and client-focused consultative approach",Marks Paneth LLP,"New York, NY",,Director of Data Science and Analytics
"At Via, we're on the cutting edge of mobility. We’re building revolutionary technology that’s changing the way people get around. It's on-demand transit on a mass scale, a smarter transportation that’s friendly to our planet. From on-demand autonomous shuttles in Australia to dynamically routed bus fleets in Singapore, our sophisticated operating system is powering transportation in the world’s biggest cities and is sought after by prominent transportation players globally. We’ve provided more than 50 million shared rides already, and we’re growing at an astonishing rate. We have offices in more than 15 countries, projects in more than 50 markets, and a goal of 200 deployments by the end of 2019. If you’re someone who relishes wearing multiple hats, never backs down from a challenge, and loves getting things done, we’d love to hear from you!

Job Overview

As Data Scientist, you’ll utilize advanced quantitative & statistical analysis techniques to drive business model innovation for... Via, and work closely with our senior management to help drive decisions.

Responsibilities and Duties
• Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights
• Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools
• Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point
• Design and implement novel experiments to better understand current operation as well as expansion to new markets

Qualifications
• Obsessed with data; analytical and rigorous, with a thorough understanding of statistics and machine learning
• Extraordinary communicator with demonstrated writing and editing skills.
• Passionate about elegant visualization; you understand the importance of graphic techniques in communicating a quantitative idea effectively
• Deep understanding of business concepts within strategy, operations, and marketing
• Have a Masters Degree or PhD (statistics, machine learning, physics, math, systems biology, or highly quantitative fields in social sciences), including 2+ years of graduate-level research experience (or the equivalent)
• Have experience with predictive modeling and statistical analysis techniques in a business environment
• Mastery in some or all of the following: SQL, Python, R, and Tableau

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.

Via is an equal opportunity employer",Via,"New York, NY",$92k–149k,Data Scientist
"We are seeking a Data Scientist to join our Product Insights team, focusing on Personalization. We have several roles open across different levels of seniority.

You will be solving complex data problems and delivering the insight that helps to define our understanding of music, audio and our listeners to develop how we personalize at Spotify. This role works closely with a multidisciplinary team of data scientist, user researchers, data engineers, product teams and designers.

Your work will impact the way the world experiences music and audio!
What you’ll do:
• Develop research questions and undertake data exploration to understand who our listeners are, how they get value out of Spotify, and where we can develop our product to bring greater value
• Work closely with the team including data engineering to build lasting solutions to our data modeling
• Design, analyze, and interpret the results of experiments
• Perform exploratory analyses to understand the performance of our machine... learning systems
• Define, evaluate, dashboard and monitor key metrics, understanding root causes of changes
• Contribute to the development of the Product Insights function and the wider analytics community at Spotify
• Mentor and coach other data scientists
• Work from our office in New York

Who you are:
• You will have 2 to 5 years relevant applied experience with a degree or higher in economics, psychology, computer science, statistics, or mathematics or another quantitative discipline
• Technical competence to perform advanced analytics:
• Coding skills (such as R, Python, or Scala)
• Experience with analytics & visualization tools (SQL, Tableau, ggplot/matplotlib or equivalent)
• Experience performing analysis with large datasets
• You have strong statistical understanding of online testing methodologies and metric development
• You are an independent thinker, able to work autonomously, capable of taking on loosely defined problems and translating complex thinking into practical application for diverse audiences
• You are a communicative person who values building strong relationships with colleagues and partners and enjoys mentoring and teaching others

We are proud to foster a workplace free from discrimination. We strongly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better product for our users and our creators. This is something we value deeply and we encourage everyone to come be a part of changing the way the world listens to music",Spotify,"New York, NY",,Data Scientist – Personalization
"We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. You will be responsible for extracting actionable insights from the usage of our mobile, web and e-commerce apps as well from sales, marketing and manufacturing datasets. The ideal candidate will have experience understanding levers to improve engagement with SaaS products and with boosting conversion for e-commerce flows. The role is anticipated to grow quickly with the company’s success allowing the candidate to build a world-class team.

Responsibilities
• Model lead and customer behavior to direct marketing and sales strategy, e.g. customer segmentation, predict Net Promoter Score, identification of potential churn risk and upsell opportunities.
• Analyze e-commerce data to identify opportunities to improve conversion. Run A/B testing to test hypotheses and optimize e-commerce platform
• Provide data to inform cloud and mobile app product roadmap. Segment... users, design and surface key metrics (e.g user retention), analyze feature usage, identify associations between mobile and web usage,
• Identify opportunities to improve customer support. Alert on emergent reliability issues based on support interactions, cluster patterns of failure e.g. using NLP, work with manufacturing team to predict issues based on self-test data
• Build dashboards and presentations to surface insights to leadership
• Make data accessible to the company as a whole with self-service tools and training",4Catalyzer,"New York, NY",$92k–149k,Data Scientist
"CLEAR transforms what is uniquely you – your fingerprints, your face, your eyes – into a secure, biometric key to frictionless experiences. We are creating a world where travel is effortless, where accessing your office building is as simple as walking in, and where shopping is as easy as walking in and out of a store—without ever once showing an ID or credit card. CLEAR currently powers secure, frictionless customer experiences in nearly 40 U.S. airports and venues. With over 3 million members so far, CLEAR is the identity platform of the future, today.

Through cutting edge biometrics and advanced Homeland Security certified data algorithms, CLEAR products guarantee identity and protect our members, while speeding them through security. We’re seeking an innovative, intellectually curious and results-oriented Data Scientist to support, enhance and expand CLEAR’s current and projected security and identity algorithms. As a critical member of our research and development team, you will... have a prominent voice in the future of our company. You’re a deep thinker who enjoys solving critical problems, and can own a solution from end to end.

You are technically proficient and have the ability to access and wrangle large amounts of structured and unstructured data, a great business sense, the desire to influence strategic decisions with data-driven analysis. You are passionate about applying data science towards solving business problems, particularly within the context of quantitative product features. You think deep, you happily prove your assumptions and you work fast. Lastly, you have strong written and verbal communication skills.

What You Will Do:
• Define data requirements and gather and validate information, applying judgment and statistical tests. Ability to prototype code for the newly researched methods to support the integration of new algorithms. Writing production ready code is a plus.
• Understand ground truth, create training models, devise new statistical models, using machine learning techniques within the context of domain specific and domain independent data.
• Work collaboratively with the data science and product management teams to evolve current and build new quantitative product features.
• Work collaboratively with engineering to integrate new product features into production.

Who You Are:
• You have a strong desire to work in a highly collaborative, team oriented, intellectually curious environment.
• Comfortable scoping and structuring your work in the face of a variety of different problems types such as deterministic problems, amorphous, ambiguous, and otherwise heuristic ones as well.
• Have at least an M.S. (preferred) or Bachelors (required) in Computer Science, Operations Research, Computational Economics, Statistics, Applied Mathematics, Data Science, or related major.
• Demonstrable hands-on experience in Machine learning (Bayesian Analysis, Decision Trees, Random Forests, Boosted Trees, Support Vector Machines, Neural Networks, etc.) and Advanced mathematics to create product features.
• 5+ years experience leveraging the Python Data Science stack (scikit-learn, Numpy, Pandas, etc.) to drive prototyping of large data sets. Experience with auto model building tools such as DataRobot, AutoML, et al. is highly desired.
• Experience managing your code in a modern day version control system, eg git.
• Experience modeling risk related problems, particularly those with class imbalances is highly preferred.
• Experience conceiving of new metrics based on synthesis of new and existing data is highly preferred.
• Skilled in cleaning, transforming and otherwise statistically describing data for the purpose of feature engineering. Experience with Feature Tools or similar is highly preferred.
• Proficient in leveraging a variety of visualization packages and applications such as Tableau, Looker, matplotlib, Python dash, plotly, et al. to expose meaningful insights in data.
• Experience working with data warehouses and/or relational databases and SQL in a real-world context. Experience with Snowflake is highly preferred",CLEAR - Corporate,"New York, NY",,Data Scientist
