avg_salary,body,company,location,salary,title
,"Scale is a rapidly growing post-Series B startup. Our mission is to accelerate the development of AI applications. Our first product is a suite of APIs that allow AI teams to generate high-quality ground truth data. Our customers include Alphabet (Google), Zoox, Lyft, Pinterest, Airbnb, nuTonomy, and many more, and we've become an industry standard for the self-driving car market.

We are building a large hybrid human-machine system in service of ML pipelines for dozens of industry-leading customers. We currently complete millions of tasks a month, and will grow to complete billions of tasks monthly.

As a machine learning engineer, you will:

- Create optimized and efficient tooling, like Guided Automatic Segmentation, for taskers to complete complex tasks with speed and accuracy.

- Reliably evaluate data quality at scale.

- Intelligently route tasks from customers to specialized taskers for low turnaround and high accuracy.

- Automatically hire, train and onboard taskers.",Scale AI,"San Francisco, CA",,Machine Learning Engineer
104.15,"Invitae is a healthcare technology company that leverages genetic information to empower doctors and patients to make informed medical decisions. Our software engineers work on a variety of projects ranging from innovations in healthcare systems to taming the chaos of biology. We're constantly improving our tools and technologies to deliver the highest quality actionable information to doctors and patients.

About The AI Team

The Invitae AI team is composed of AI Scientists and AI Engineers who work together with other Invitae engineering teams as well as academic collaborators to bring state of the art artificial intelligence to our mission. Our definition of AI is bigger than machine learning, including interests in representation, reasoning, optimization, and logic. However, we know that all of these methods are at their best when thoughtfully leveraging contemporary machine learning.

About AI Engineers

AI Engineers work with our AI Scientists and other engineering teams at... Invitae to implement solutions to contemporary problems in artificial intelligence, data science, and computational biology. At Invitae, we rely on many artificial intelligence methods in coordination with machine learning, such as natural language processing, computer vision, representation learning, causal inference, planning, and reasoning. We surface these technologies with ""human in the loop"" interfaces, where we also conduct research on human-computer interaction with our staff of domain experts.

About You

Desired candidates are strong coders with professional software engineering experience. Academic candidates with strong internship histories will also be considered.

They can quickly code modular end-to-end prototypes using ""off-the-shelf"" machine learning models as baselines. And when those baselines are not strong enough, they are curious in developing custom solutions. They eagerly leverage any technology required to solve our problems, and embrace the Invitae culture of open and genuine communication.

What You Will Do
• Implement state of the art solutions alongside AI Scientists
• Create platform infrastructure make solutions repeatable
• Collaborate with other software engineering teams to integrate and scale solutions

What You Bring
• Advanced degree in computer science or related field
• Industry software engineering experience
• Practical experience with basic machine learning and deep learning frameworks
• Interest in the fundamental understanding of machine learning and AI methods
• Expert with Python 3
• Experience with HTTP API design and implementation (REST)
• Experience with Linux, DevOps, and AWS tools
• Ability to both guide and accept guidance from team members
• Excellent written and verbal communication skills
• Interest in solving problems in the healthcare domain to make observable improvements in patient and clinician experiences

Other Things You Are Excited About
• Computational Biology
• Computer vision (neural, multimodal methods)
• Natural language processing
• Interactive Agent systems (conversational agents, decision support systems)
• Recommender systems (heterogenous networks, matrix factorization)
• Graphical models, graph databases, graph embeddings
• Active learning and ""human in the loop"" methods
• Reinforcement learning (bandits, online algorithms)
• Serverless computing (AWS Lambda)
• Stream processing (Kafka)
• Enterprise search platforms (Lucene, Solr, Elastic Search, Learning to Rank)
At Invitae, we value diversity and provide equal employment opportunities (EEO) to all employees and applicants without regard to race, color, religion, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance",Invitae,"New York, NY",$60.7k–86.9k,AI Engineer
183.8,"Paige.AI is a software company leading a digital transformation in pathology by leveraging advanced Artificial Intelligence (AI) technology in its products to enable a cloud-based workflow for pathology. This AI is powered by an agreement with Memorial Sloan Kettering (MSK), a global leader in cancer care, for exclusive access to millions of pathology slides and pathologist reports. We are backed by a $25 million series A financing and are the first to have AIRI, the most advanced architecture ever built for scale-out AI, with a GPU performance of over 10 petaFLOPS.

We’re seeking an AI Research Engineer to join us. In this role you’ll join a team of world-leading experts in machine learning, computer vision and pathology. You’ll be part of the team that builds solutions for pathologists, clinicians and researchers to accelerate and improve the accuracy of cancer detection, classification and staging.

This is an extraordinary opportunity to be part of a high-performing team and to... pursue a life-changing mission.

Key responsibilities:
• Implement deep learning algorithms and develop next-generation convolutional neural network – based algorithms for the semantic segmentation and classification of cancer.
• Work closely with AI Scientists to plan, develop, train and test machine learning models for the purposes of computational pathology.
• Validate and test deep learning models on large scale clinical pathology image data.
• Optimize algorithms for efficiency, speed, and usability.

About you:
• You have strong experience implementing and evaluating deep neural networks, especially for computer vision tasks.
• You hold a Bachelors’ degree or masters degree in computer science or related field.
• You have strong experience with Python.
• Experience with distributed systems and HPC distributed setups is desirable",Paige.AI,"New York, NY",$90.8k–186k,AI Research Engineer
,"A leading financial services firm is currently seeking an Artificial Intelligence Engineer for their team in New York City.

Within this role, you will be developing solutions for large scale problems using AI/ML.

Requirements:

Must have an MS or PhD in Computer Science, AI, ML, or related field

3+ years of hands-on Java development experience

Experience with major deep learning engines

Experience with NLP and predictive and classification algos

Apply",Open Systems Technologies (NYC),"New York, NY",,AI Engineer 126053
156.5,"Job Description and Responsibilities

Are you a high-energy, self-starting engineer with hands on experience with Artificial Intelligence? Then Interactive Brokers is the place for you. We take pride in providing our global client base with cutting-edge trading applications.Our company was founded by a software engineer with a mission to rewrite the rules of trading by automating anything and everything. Software development is the lifeblood of our firm, and it shows. Our engineers work with latest technology, command respect in the firm, and have competitive compensation packages.
• Develop solutions for real-world, large-scale problems using Artificial Intelligence/Machine Learning; improve deep learning engine that services our brokerage clients: https://ibkr.com/bot
• This role bridges the gap between Software Engineer and Research Scientist.
• Add more skills to the neural network, define training and validation sets; code automated tests.
• Setup feedback learning loop and... fine-tune behavior based on customer interactions.
• Formulate and run experiments to improve comprehension rate by altering topology, tweaking activation and learning function and alike.
• Assist in coding execution engine.

This position is for our New NYC office located within a seven minute walk from Grand Central for someone commuting in on the MNR. It is close to the 4, 5, 6, 7 lines (at Grand Central), E, B, D, F, M lines (Rockefeller Center Station), N, R, W lines (49th St Station).
Qualifications
• MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.
• Working experience with any major deep learning engine; familiarity with Deep Learning for Java (DL4J) toolkit is a major plus.
• Hands on Java coding experience is required; we use Java language for AI models in production and we’d like you to be able to contribute effectively in this setup
• Ideal candidate will be skilled in natural language processing, predictive and classification algos.
• Technically oriented, proactive, and enthusiastic, with extreme attention to detail.
• English written/verbal communication skills.

This is not a position for which non-US work visa sponsorship will be provided.
Company Overview

Interactive Brokers Group, Inc. (IEX: IBKR); is a direct access electronic broker catering to the needs of professional and frequent traders, institutional investors, financial advisors, and introducing brokers. Our clients have access to more than 120 market centers in 31 countries from a single account. We are the lowest cost provider of brokerage services and the largest U.S. electronic broker based on daily average revenue trades executing 797,000 trades per day.¹ Our employees are part of a dynamic, multinational, fast-paced, results-oriented team working to provide our customers with state-of-the-art trading technology, superior execution capabilities, worldwide electronic access, and sophisticated risk management tools.

¹Figures as of September 30, 2018.

The IBKR Companies are equal employment and affirmative action employers and looking for diversity in qualified candidates for employment",Interactive Brokers Group (NASDAQ: IBKR),"New York, NY",$47.5k–218k,Artificial Intelligence Engineer
,"Fancy joining a global organization that is revolutionizing the digital landscape* Today, as clients across industries are moving from digitally extending their businesses to placing digital at the core, Publicis.Sapient has an unprecedented opportunity to help them succeed.

Job Title:

Senior Manager, Data Science

Job Summary:

Publicis Sapient is looking for a Senior Manager, Data Science to join its Data Science practice. The role is to not only be a trusted adviser to our clients for driving the next generation innovation in applied machine learning and statistical analysis, but also a leader in advancing the group s capabilities into the future

As part of the team, you will be responsible for leading teams that create data driven solutions that at the core are driven by relevant learning algorithms. In this role you will educate internal and external teams on conceptual models for problem solving in the machine learning realm and help translate goals and objectives into data... driven solutions. You will enjoy working with some of the most diverse data sets in the world, cutting edge technology, and the ability to see your insights turned into real business results on a regular basis

The role is critical in helping advance the application of machine learning as a core building block to core market offerings in eCommerce, advertising, adtech and business transformation. In addition, you will be responsible for directing analysis that informs and improves the effectiveness of the planning, execution and optimization of marketing tactics.

As an evangelist for data science, you will partner with leaders in various SapientNitro divisions, industries and geographies, in order to ensure that increasingly more solutions we bring to the market are data driven and are supported by a strong data sciences group.

Core areas of focus for this group includes applications in customer segmentations, media and advertising optimization solutions, developing recommender systems, fraud analytics, personalization systems and forecasting.

Reponsibilities (in addition to what s listed above)
• Design and implement high performance and robust analytical models in support of product and project objectives
• Research and bring innovations to develop next generation solutions in core functional areas related to digital marketing & customer experience solution blocks - Content and Commerce , AdTech, Customer Relationship Management (CRM), Campaign Management
• Provide technical thought leadership, coaching and mentorship in the field of data science in working with engineering and other cross functional teams
• Evolve the approach for the application of machine learning/deep learning to existing program and project disciplines
• Design controlled experiments to measure changes to new user experience experience
• Segment customers and markets to improve targeting and messaging of product recommendations and offers
• Direct research and evaluation for open source and vendor solutions in the analytics platforms space to guide solutions
• Be responsible for solution and code quality including providing detailed and constructive design and code reviews
• Help establish standards in machine learning and statistical analysis to ensure consistency in quality across projects and teams and identify relevant process efficiencies
• Assess client needs and requirements to ensure your team is adopting the appropriate approach to solve client challenges

Skill Guidelines:
• 8+ years in the field of applying methods in machine learning and deep learning to develop data driven solutions preferably in the eCommerce and Adtech domain
• Demonstrate proficiency with various approaches in regression, classification, and cluster analysis
• Must have experience in statistical programming in R, SAS, SPSS, MATLAB, Python or TensorFlow
• Expertise in one or more programming languages Python, R, Scala
• Expertise in SQL programming languages and familiarity with Hive, PIG
• Experience working in a Unix/Linux environment for automating processes with shell scripting
• Excellent quantitative skills and the ability to tell a story using data
• Strong communication and presentation skills
• Ability to initiate and drive projects from conception to completion with minimal guidance
• Passionate about turning data into actionable insights
• Proven ability to perform in-depth analysis, compile and interpret results

Career Level - Mid-Senior Level

As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at hiring@publicis.sapient.com or you may call us at +1-617-621-0200",Publicis.Sapient,"New York, NY",,Data Science Engineer-ML/AI/Python
104.15,"Long term contract-NY,NY Job Title: Emerging Technologies Engineer Client :Financial Team Profile: Technology Innovation Office promotes and fosters a collaborative culture of innovation leveraging exponential technologies that will drive value to our clients, attract world class talent, and promote our competitive differentiation. The group is a mixed discipline team with backgrounds in design thinking, innovation programs and technologists. Position Description: Reporting into the Head of Emerging Technologies (Labs) team, the Engineer will help drive business results aligned with Technology innovation and transformation across key areas (e.g., Artificial Intelligence & Machine Learning, Data Analytics & Visualization, Client & Employee Experience, Fintech & Digital Assets, NextGen Architecture, and Automation). He/ She will partner with key stakeholders to research new technologies, perform technical product evaluations and facilitate adoption by partnering with business and... technologists such that the firm can derive true business value. In addition, this role will collaborate closely with our Innovation Program and Tech Business Development teams to prioritize business challenges and technology investments. The position requires a mix of strong hands-on technical skills and effective communication skills. It is best suited to those who are agile practitioners and excel working in fast paced cross-functional technical teams across different areas of the organization. Responsibilities will include three key areas: ? Driving end-to-end product evaluations from idea through to seeing business value realized for select products across emerging technologies, at an accelerated pace. ? Developing and launching enabling capabilities and partnering with stakeholders in removing barriers to improve the overall process for technology evaluation and adoption at the firm. ? Fostering a collaborative environment and establishing connectivity across the Firm by disseminating emerging technology expertise and learnings. Qualifications Required: ? A minimum of 7 years of relevant experience with strong technical aptitude, a learning mindset and great communication skills ? Demonstrable hands-on experience in one or more relevant tools and technologies. ? Strong and effective communications skills (written and verbal) to engage and influence senior leadership and peers across Technology and Business globally. ? Detail-oriented, self-starter and able to work both independently and in a team environment ? Ability to plan, organize, prioritize, and execute projects/tasks with minimal supervision in a rapidly changing environment with urgency. ? Demonstrates innovative approach to problem solving with a willingness to self-learn / explore new technologies, embodies a can-do attitude, resilient to various process and technical challenges, and highly execution oriented in getting things done autonomously. ? Familiarity with agile frameworks and tools such as JIRA. Preferred: ? Fintech and/or startup experience highly desirable. ? Experience in driving innovation and as a change agent within organizations. ? Demonstrable passion for emerging technology trends and/or knowledge desired (i.e. Artificial Intelligence & Machine Learning, Data Analytics & Visualization, Fintech & Digital Assets, etc","Tsr, Inc.","New York, NY",$60.7k–86.9k,AI Engineer
,"Our client is a highly successful global Fin-Tech company with an outstanding reputation for innovation. They offer outstanding bonuses and opportunity to work with top scientists and technology specialists.

This excellent company is now seeking a smart, experienced Artificial Intelligence Engineer who will develop solutions for real-world, large-scale problems using A.I. and Machine Learning as part of a newly established AI/Data Science team. We're seeking someone capable of developing innovative solutions for complex real-world problems within the fin-tech industry.
• * Relocation assistance available from anywhere in U.S.

Primary Responsibilities and Focus:
• Use NLP & Machine Learning to develop solutions for real-world technology problems
• Be effective in a role which combines Research Engineering and Software Development (Java)
• Improve existing deep learning engine that services global eTrading clients
• Add skills to existing neural network, define training and validation... sets.
• Formulate and run experiments to improve comprehension rate by altering topology, tweaking activation and learning function and alike.
• Assist in coding execution engine.

Requirements:
• Masters or PhD in Computer Science, Math, Engineering, AI or other technical field is required.
• Experience with major deep learning engine.
• Must have hands on Java development experience.
• Desired: Deep Learning for Java (DL4J) toolkit is a plus.
• Desired: Skill with NLP / natural language processing, predictive and classification algos is highly desired.
• Technically oriented and personally proactive with extreme attention to detail.
• Ability to work effectively on independent projects as well as within team environment
• Keen interest in the field of AI
• Strong written and verbal communication skills are a must.

Work where your contributions get recognized and rewarded!

Our client is the recipient of numerous technology awards and is a global leader in Fin-Tech. They reward talent and hard work with excellent bonuses, superior benefits and challenging projects",Hamilton Technical Personnel,"New York, NY",,Artificial Intelligence Engineer with Java
133.9,"AI Engineering - Machine Learning Engineer

JPMorgan Chase (JPMC) is a leading global financial services firm with assets of $2 trillion and operations in more than 60 countries. It is on the transformation journey to be a client-centric technology driven company over the last few years. With an annual tech budget of $10B+, it has started significantly investing and building in the next generation core infrastructure, data and AI technology.

As the next push into this investment, JPMC Silicon Valley is hiring the best talents to join the newly-formed AI engineering team. We are executing like a startup and building the next generation technology that combines JPMC unique data and full service advantage to develop high impact AI applications and platforms in the financial services industry. We are looking for people who are excited about the opportunity.

Responsibilities
• Research and implement deep learning, machine learning and statistical approaches to solve business problems.
•... Collaborate with all of JPMorgan’s lines of business. Focus on delivering results, prioritizing needs while dealing with ambiguity
• Build V1 of model and present results to data scientist and non-technical business users.
• Partner with developer, engineering teams to create production training pipeline and inference workflows.

Minimum Qualifications
• BS, MS or PhD degree in Computer Science or related quantitative field.
• Fluency in programming skills e.g. Python, R, C/C++, Java, Python or other equivalent languages.
• Expert in Deep learning architectures e.g. CNN, RNN, LSTM etc. Expert in at least one of the following areas: Natural Language Processing, Computer Vision, Speech Recognition, Reinforcement Learning, Ranking and Recommendation, or Time Series Analysis.
• Expertise in one major machine learning frameworks: Tensorflow, Caffe/Caffe2, Pytorch, Keras, MXNet, Scikit-Learn.
• Demonstrate experience of making trade-offs between schedule, resources, model performance etc
• Experience in ETL pipelines, both batch and real-time data processing.
• Strong analytical and critical thinking skills.
• Self-motivation, great communication skills and team player.
• Preferred Qualifications
• Cloud computing: Google Cloud, Amazon Web Service, Azure, Docker, Kubernetes.
• Experience in big data technologies: Hadoop, Hive, Spark, Kafka.

Experience in distributed system design and development

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you",JP Morgan Chase,"Jersey City, NJ",$49.4k–169k,AI Engineering - Machine Learning Engineer
,"AI Engineering - Machine Learning Engineer

JPMorgan Chase (JPMC) is a leading global financial services firm with assets of $2 trillion and operations in more than 60 countries. It is on the transformation journey to be a client-centric technology driven company over the last few years. With an annual tech budget of $10B+, it has started significantly investing and building in the next generation core infrastructure, data and AI technology.

As the next push into this investment, JPMC Silicon Valley is hiring the best talents to join the newly-formed AI engineering team. We are executing like a startup and building the next generation technology that combines JPMC unique data and full service advantage to develop high impact AI applications and platforms in the financial services industry. We are looking for people who are excited about the opportunity.

Responsibilities
• Research and implement deep learning, machine learning and statistical approaches to solve business problems.
•... Collaborate with all of JPMorgan’s lines of business. Focus on delivering results, prioritizing needs while dealing with ambiguity
• Build V1 of model and present results to data scientist and non-technical business users.
• Partner with developer, engineering teams to create production training pipeline and inference workflows.

Minimum Qualifications
• BS, MS or PhD degree in Computer Science or related quantitative field.
• Fluency in programming skills e.g. Python, R, C/C++, Java, Python or other equivalent languages.
• Expert in Deep learning architectures e.g. CNN, RNN, LSTM etc. Expert in at least one of the following areas: Natural Language Processing, Computer Vision, Speech Recognition, Reinforcement Learning, Ranking and Recommendation, or Time Series Analysis.
• Expertise in one major machine learning frameworks: Tensorflow, Caffe/Caffe2, Pytorch, Keras, MXNet, Scikit-Learn.
• Demonstrate experience of making trade-offs between schedule, resources, model performance etc
• Experience in ETL pipelines, both batch and real-time data processing.
• Strong analytical and critical thinking skills.
• Self-motivation, great communication skills and team player.
• Preferred Qualifications
• Cloud computing: Google Cloud, Amazon Web Service, Azure, Docker, Kubernetes.
• Experience in big data technologies: Hadoop, Hive, Spark, Kafka.

Experience in distributed system design and development

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you",JP Morgan Chase,"Jersey City, NJ",,AI Engineering - Machine Learning Engineer
