avg_salary,body,company,location,salary,title
104.6,"OrthoNet is the leading orthopaedic specialty benefit management company in the United States. Our innovative care management model integrates the needs of providers, payers, and members to ensure the delivery of high quality, cost-effective care while realizing substantial savings that keep the costs of healthcare down.Reporting to the Director, Clinical Informatics, the Healthcare Data Analyst meets the information, reporting, and analytic needs required to drive the performance priorities for OrthoNet. Prior experience with healthcare analysis would be a plus. Primary Responsibilities:Analyze healthcare authorization and claims data to assess trends, evaluate potential operational and clinical opportunities, measure ongoing performance vs. target, identify additional expansion opportunities, etc.Adept with creating excel reports to demonstrate key performance indicators and analytical insights to internal and external stakeholdersAdopt and apply relevant project management tools ... SDLC experience as requiredMaintain high standards of data integrity and quality throughout the department's data collection-to-reporting pipeline; support in implementation of new methodology, tools and processesSupport ad hoc analytic requests, providing accurate and timely data, analysis and insightful interpretationsIdentify opportunities to improve and enhance analyses and information provided to customers

Required Qualifications: Bachelor's degree in a quantitative, finance, technical or health care analytics related discipline3 - 5 years of overall work experienceSolid computing skills, particularly with relational database programming, including SQL Server, MS Excel, etc.Must be proficient with PowerPointHands-on experience with handling and analyzing large data sets (over 1 million records) Proven analytical skills particularly with comprehensive, multi-level drill-down assessment of key utilization and financial performance measures by product, procedure and other key business dimensionsPreferred Qualifications: Experience with healthcare claims data and other related healthcare industry benchmarks for utilization and cost drivers1.5 - 2 years of experience in a health care insurance related field (Medical Informatics, Healthcare Economics, etc.) Experience with Visio, SharePoint, Tableau, MS Access and OraclePast experience with clinical analysis in medical economics / informatics areas within a managed care environment a plus (e.g., diagnostic case-mix, episode of care grouping and analysis, provider profiling and / or site-of-service analyses, etc.)Excellent organizational skills, attention to detail and troubleshooting ability with high level of accuracyTeam player, resourceful, open to learning and adaptationStrong verbal and written communications skills, with genuine sense of personal initiative and accountabilityCareers with Optum. Here's the idea. We built an entire organization around one giant objective; make the health system work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm)Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.Job Keywords: SQL Server, Excel, Visio, Tableau, Access, Oracle, Healthcare, PowerPoint, Analyst, White Plains, NY, New York

Job Title: Healthcare Data Analyst - White Plains, NY
Shift: Day Job
Travel: No
Business: Medical Benefit Management
Family: Analytics
Telecommuter Position: No
Job Level: Individual Contributor
Overtime Status: Exempt
Posted Date: 3/19/2019
City: White Plains
State: NY
Country: United States
Department: Medical Benefit Mgmt",UnitedHealth Group,"White Plains, NY",$59.1k–91k,"Healthcare Data Analyst - White Plains, NY"
108.9,"Data Analyst

Overview

OUR STORY

We are a company with integrated luxury and lifestyle offerings centered on Movement, Nutrition and Regeneration. In addition to Equinox, our other brands, Blink, Pure Yoga, SoulCycle, Furthermore, and Equinox Hotels are all recognized for inspiring and motivating members and employees to maximize life. Within our portfolio of brands, we have more than 200 locations within every major city across the United States in addition to London, Toronto, & Vancouver.

OUR CODE

We are passionate about high performance living and we practice what we preach – investing time in our own health and fitness. We believe that everyone has untapped potential within them and it takes a disruptive approach to unleash it. We dream big and don’t settle for the status quo. We sweat the details. We never accept less than 110% to help each other deliver the Equinox experience and enable our members to get great results. We are obsessed with what’s new, what’s now, what’s... next. Never following, always leading, living ahead of the moment in fashion, culture and consumer behavior. We aren’t just a company; we’re a community vested in each other’s success. We value humility and a team approach at every level of the company.

If you are a high performing individual who is passionate about winning and inspiring others, then we are excited to discuss career opportunities with you.

Job Description

The Role

Equinox is seeking a Data Analyst to join our Data Insights team. As an Analyst, you will be working with the business and broader Technology groups on various analytic initiatives. You will also have significant exposure to modern data processing and analytic tools.

Responsibilities
• Provide data reporting functions to the business and technical community using SQL querying
• Liaise with business and technology partners to build insightful analytical solutions
• Troubleshoot data discrepancies; resolve and articulate them
• Identify areas where operational efficiency can be improved through enhanced automation; implement those enhancements

Qualifications

Desired Profile
• You have a bachelor’s degree with a concentration in MIS / Computer Science / Engineering / Data Science
• You have expertise in SQL Server/ Redshift; 10 out of 10 SQL Ninja analytic capabilities (with 2+ Years hands on experience in SQL)
• You have 2+ years working as a Data Analyst with a strong ability to analyze data and perform root cause analysis
• You have the ability to extract information from multiple databases using complex query statements and advanced database tools
• You are able to organize, analyze, and disseminate medium to large amount of information with great attention to detail and accuracy
• You have knowledge of analytic tools like Tableau and Business Objects
• You have exposure to Data Warehouse principles and basic understanding of data modeling concepts and methodologies
• You have experience working with structured and semi-structured data (xml, json)
• You have experience working with ticketing and project management systems (Zendesk, Jira)
• You possess strong documentation and communication skills

You are creative, flexible, eager to learn, and able to work productively in a multi-project, deadline-driven environment

Additional Information

AS A MEMBER OF THE EQUINOX TEAM YOU WILL RECEIVE:
• We offer competitive salary, benefits and industry leading commission opportunities for club employees
• Complimentary Club membership
• 30- 50% discounts on all Equinox products and services including Personal Training, Private Pilates, Spa and Café’ services and Shop items

This job description is intended to describe the general requirements for the position. It is not a complete statement of duties, responsibilities or requirements. Other duties not listed here may be assigned as necessary to ensure the proper operations of the department.

Equinox is an equal opportunity employer. For more information regarding our career opportunities, please visit one of our clubs or our website at https://careers.equinox.com/

All your information will be kept confidential according to EEO guidelines. Must have a legal right to work in the United States",Equinox,"New York, NY",$70.4k–77k,Data Analyst
123.1,"ABOUT THE TEAM AND ROLE
theSkimm’s Data & Analytics team provides robust measurement and actionable insights on our growing membership base. We partner closely with product, engineering, and marketing teams to build innovative products, understand customer demand signals, and measure growth and engagement.
As our company grows, we’re looking for a Product Data Analyst to join our team. Reporting to theSkimm’s VP of Analytics, you support the design and analysis of A/B tests for new product features, size new opportunities, and define key performance metrics across our newsletter, app, web, and audio.
WHAT YOU'LL BE DOING
A/B testing strategy including design, execution, and analysis
Providing actionable insights to help product managers understand trends, marketplace dynamics, and user behaviors
Segmenting our Skimmr’s to understand their different motivations and use cases along with our ability to fulfill those needs and add meaningful value
Conceptualizing key metrics to measure... success and identifying levers to move key metrics
Building dashboards for all levels of the company, including executive leadership, to monitor key metrics and track progress
Identifying, collecting, and transforming data from disparate sources using SQL, R, Python, or other statistical tools
Developing a sound understanding of the role of each product within theSkimm’s ecosystem of products
WHAT WE’RE LOOKING FOR
3+ years of experience in data analytics, consulting, or similar quantitative role
Understanding of A/B testing methodologies
Experience with large datasets, statistical analyses, data visualization
Strong communication skills
Strong SQL skills
Proficiency with business intelligence tools (e.g, Looker, Tableau)
Experience with Python or another scripting language
Understanding of user segmentation, cohort analyses, regression models, funnel optimization
High EQ
Experience in Media or Publishing
Familiarity and enthusiasm for theSkimm: a passion for our audience and mission
This is a full-time role based in New York, NY
WHAT WE OFFER
Comprehensive insurance plans, commuter benefits and 401(k) starting on your first day
Competitive salary & equity packages
Flexible vacation policy and generous holiday observances
One Medical Membership
Gym membership reimbursement
Catered Friday lunches and monthly gatherings
A vibrant office environment full of books, couches and a roof deck
Complimentary access to theSkimm’s growing suite of membership products
The opportunity to be part of a values-driven, hardworking and diverse group of people building a membership company that makes it easier to live smarter
ABOUT THESKIMM
theSkimm is a membership company dedicated to helping female millennials live smarter lives. By seamlessly integrating into our members existing routines, we've become a trusted brand to more than seven million people. We're fundamentally changing the way our members consume news, consider products or services, and take action on important things happening in their lives. Our flagship product, the Daily Skimm, is still the fastest growing email newsletter on the market, and we've grown our product suite to fit into other routines at home, work, and on-the-go. theSkimm App debuted at #1 in News in iTunes, our podcast ""Skimm'd from The Couch"" reached #1 in Apple Podcasts within hours of launching, and more than 200,000 people voted with us in the 2018 midterm elections.
As theSkimm grows, we're committed to helping our members tackle big decision-making moments in life by giving them the information they need to make informed and empowered choices whether that be in civic engagement, finance, career, health, and more. Founded in 2012 by two friends on a couch, we've since grown to over 100 employees based in NYC. We are passionate. We are a TEAM. We work hard, but we know when to take a break to enjoy each other's company. Our products help people live smarter lives and we're building a brand trusted by millions of female millennials across the country. Join us",theSkimm,"New York, NY",$61.6k–123k,Product Data Analyst
98.15,"Cadent powers the evolution of TV brand advertising. We provide marketers, agencies, operators, and media owners with data-driven solutions for buying and selling TV advertising. By connecting brands with opportunities across national inventory sources—cable, broadcast, and digital media—our technology improves efficiencies and boosts the results of linear, addressable, and cross-screen campaigns.

The Data Analyst is a new role and a key member of the Cadent Addressable team. Reporting to the Analytics Manager, he/she will be responsible for analyzing closed-loop measurement studies across a variety of advanced television campaigns. This role will include detailed examination of performance reports and data dissection including: cleaning, consolidating and streamlining data in a systematic fashion for platform ingestion. The successful candidate will work collaboratively with the Analytics Manager as well as Operations, Client Services, and Sales to turn data into information... information into insight and insight into business decisions.

KEY RESPONSIBILITIES:
• Conduct data analysis to uncover, interpret, organize and create actionable insights for client delivery
• Collaborate with Analytics manager and data partners building narratives to package client-ready campaign insights and deliver client reports on a regular cadence
• Initiate discussion/raise questions with manager and/or external partners when elements of the data are inconsistent with prior findings or expectation
• Align with Sales and Operations to ensure all client deliverables and deadlines are met
• Manage multiple initiatives simultaneously across various categories and external data partners
• Create custom calculated measurements and dimensions in visualization dashboards using programming codes
• Serve as an internal data analysis expert helping Operations, Product, and Analytics teams as needed on an ad hoc basis

QUALIFICATIONS
• 3+ years of data mining experience
• Proficient in R, Python, and/or SAS
• Bachelor’s degree in Mathematics, Business, Computer Science, Statistics or similar related field
• Proficient in Microsoft Excel and Microsoft Access; familiar with other Microsoft suite tools
• Strong attention to detail and highly organized
• Ability to collaborate effectively and work as part of a team but comfortable with independent project work
• Ability to analyze large data sets using various tools and languages, as needed
• Basic understanding of applied statistics and ability to comingle various attribution results
• Have strong written and verbal skills
• Are comfortable navigating ambiguous situations
• Self-starter who thrives in a dynamic, fast-paced, entrepreneurial environment

NICE TO HAVES
• Basic competency in data-driven television, advanced television and/or digital media metrics
• Understanding of closed loop measurement analytics
• Proficient in SQL
• Experience with Tableau and Datorama visualization dashboards

/CADENT/ is an EOE M/F/D/V. We do not work with 3rd Party Staffing Agencies",Cadent,"New York, NY",$50.2k–95.9k,Data Analyst
98.15,"Button’s mission is to build a better way to do business in mobile. Today, we work with some of the largest and most interesting businesses in the world, to connect consumers with what they want at the tap of a button. We build with the consumer experience in mind, and we have a reputation for paving the future of mobile and enjoying the road to get there. Data is at the very core of proving we’re on the right track—and that's where you come in.

As a member of our Data Analytics Team, you will be responsible for empowering everyone at Button to access and use data to advance the business. You will be a partner to our customer success, product, revenue, finance, marketing and strategy teams, preparing them with key insights from challenging datasets. You will have a foundational role in shaping how these teams draw key insights and use data effectively and consistently to drive our business forward.

AS A DATA ANALYST YOU WILL:
• Identify patterns and trends that others miss, and... uncover ways we can improve our business.
• Partner with our customer success, revenue, and finance teams to tackle their data challenges both in real time with quick analyses as well as through longer term projects.
• Be the main steward of our business intelligence tools that teams use on a daily & weekly basis. You can help mentor and guide everyone to a helpful resolution.
• Uncover areas that consistently cause confusion and identify the best paths to resolution and clarity. You’ll be the guide to all things data for several teams or key projects.

WE LOOK FOR TEAMMATES WHO HAVE:
• Experience with SQL and BI tools
• Familiarity with relational databases and big data warehouses, such as MySQL, Postgres, and Redshift
• An open and active approach to sharing knowledge and excellent communication skills
• Expert critical thinking, problem solving, and analytical skills
• Curiosity and a hunger to continually dig deeper into the data

WHO YOU WILL WORK WITH:
• Wilson Tsao, Analytics Manager: Wilson is a member of the Data Science team at Button. Previously he was in similar roles at Eventbrite, Yingli Solar, and Goldman Sachs. He enjoys playing and watching basketball in his spare time.
• Brad Groff, Director of Data: Brad is the head of the Data team at Button. Before joining us, he ran data science and data engineering at Ordergroove, and managed data science teams at Capital One and Booz Allen Hamilton. In his free time, he can be found engaging in lengthy discussions with his toddler on topics such as which colors are his favorite colors and why, how some monsters can be nice and others can be mean (but sometimes just because they're hungry), and which things are the silliest things.
• Hayley Margio, Director of Business Operations & Strategy: Hayley leads the Revenue strategy team. Sometimes referred to by colleagues as ""the Meryl Streep of Button,"" she spends her days helping Button bring new products to market and wrangling unwieldy excel models. Prior to Button, Hayley grew up on two different continents but went to the same school twice. She is the pre-eminent boutique fitness connoisseur here at Button HQ and will be first in line at new vegetarian restaurants in NYC.
• Gabriella Porrino, Partner Success Manager: Gabriella works for and with our partners to ensure they are getting the most value (and joy!) out of our platform. In her spare time, Gabriella bikes around NYC in search of tacos and/or vegan desserts.
• Leo Chiang, Data Scientist: Leo is a Data Scientist focused on Analytics at Button. He will nerd out with you over podcasts, music, or running any time! Prior to Button, Leo worked on Progressive campaigns and led a data team at Everytown for Gun Safety.

Button is committed to being a welcoming and inclusive workplace for everyone, and we are intentional about making sure people feel respected, supported and connected at work—regardless of who you are or where you come from. We value and celebrate our differences and we believe being open about who we are allows us to do the best work of our lives.

Button is an Equal Opportunity Employer. We do not discriminate against qualified applicants or employees on the basis of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by federal, state, or local law, rule, or regulation",Button,"New York, NY",$50.2k–95.9k,Data Analyst
98.15,"We seek a data analyst to join an industry-defining product team at Quartz. The successful candidate will have a strong aptitude for delivering insights through numbers, a great deal of intellectual curiosity, and a mission-driven approach to work. This role will provide analytic support to our emergent membership offering, which is focused on delivering premium quality content to an engaged community loyal Quartz readers.

We are looking for someone with two to four years of experience within an analytics capacity. The ideal candidate will have experience in:
• hypothesis testing around user conversions
• wrangling and analyzing data with python (pandas)
• development, deployment, and training on business intelligence dashboards

Experience in media is a nice to have, but more important is a continued demonstration of excellence and value to an organization. Stakeholder management and cross functional leadership is also required as this role will interact with various teams... including engineering, editorial, and product management.

We are a team of life-long learners, so the analyst should be eager to continue developing their knowledge and skills. In addition, the analyst is expected to contribute to analytic infrastructure that benefits the whole organization, particularly capabilities leveraging workflow management tools and cloud analytics services.

Requirements
• Minimum of two years utilizing python for data analysis (pandas)
• Meticulous attention to detail
• Critical thinker
• Inquisitive and open-minded, eager to understand problems from many perspectives without being too attached to an assumed solution
• A lifelong-learner

Enterprise Values

Quartz recruits talent for two salient attributes or qualities:
• Force of Ideas: At the center of Quartz work are the ideas within our writing. We believe that ideas – to the good and not – have consequence. Our highest work is bringing rigor, insight, intellectual honesty, to that ultimate purpose of separating the bad from the good, and giving voice to the latter.
• Spirit of Generosity - Quartz seeks in its ranks a spirit of generosity – a natural disposition in each colleague toward service and selfless conduct. Quartz writing should be cut from the same cloth – critical on the merits but informed by charity and forbearance in measuring motive and personal character.

Quartz Media LLC is an EOE of Minorities/Women/Vets/Disability.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records",Atlantic Media,"New York, NY",$50.2k–95.9k,Data Analyst
,"The Office of Institutional Research, Data Analysis, and Planning seeks a temporary Data Analyst. This position will assist in providing data extraction, quality control, descriptive statistical analysis, data visualization and communication support for student information data in support of academic planning and institutional reporting. This position reports to the Associate Provost, with daily supervision by the Research Analyst. The ideal candidate is detail oriented, comfortable with data and technology, and has good communication skills.

This position is full-time for 6 months from the date of hire

Responsibilities:
• Work fluently and independently in Excel, perform data quality control, join data sets with vlookup, and develop reports with pivot tables
• Following specifications and sample queries from the Research Analyst, create the SQL to extract data from enterprise database systems
• Perform various data quality functions for data from multiple systems such as profile... cleanse, validate, and audit to ensure data quality and integrity
• Create summary tables and visualizations as directed to support academic planning decisions
• Perform other work-related duties as assigned

Minimum Qualifications:
• Associates degree or certified completion of appropriate data science bootcamp with relevant technical experience
• Strong Microsoft Office, especially Excel
• SQL
• Prior experience performing quality control on data sets

Preferred Qualifications:
• Previous employment experience in higher education, especially in a position utilizing student data systems
• Experience with Tableau desktop developer",The New School,"New York, NY",,Full-time temp Data Analyst
129.0,"Senior Finance Lead, Data Analyst

What is the opportunity?

We are looking for a savvy individual who is part analyst, part data expert, and part strategic business partner. If you enjoy using data to answer key business questions, while building systems that scale and enable both business owners and fellow analysts, this may be the job for you! Your goal as a Senior Finance Lead will be to use your unique skill set to create leverage through repeatable reporting and analytics that can be used by the entire organization.

Here’s a sampling of what you’ll tackle in this role:
• Build Data Sets and Dashboards that fulfill company needs: Consult with fellow analysts and leaders in finance, real estate, design and development to define data needs, and build/validate shared Tableau data sets that meet needs.
• Gather Insights from Data: Use data to tell a story. Routinely analyze financial and operational data, share insights, and make recommendations for additional KPIs.
• Become a... Thought Leader: Be the subject matter expert on the team for all things related to data infrastructure, data governance, SQL skills, and smart Tableau buildout. Guide the team through complex report building or data modeling problems.
• Ad hoc Modeling/Analysis: In addition to building out our reporting infrastructure, you will have ample opportunity to solve one-off analysis problems through models and visualizations.

What will it take to succeed?
• 5+ years of experience as a business analyst, data analyst, or in a similar data-focused capacity
• Technical skills in data extraction, analysis, and visualization, e.g. SQL, Python/R, Excel and Tableau.
• Advanced Excel and SQL skills
• Experience with business intelligence software, particularly Tableau and Looker
• Demonstrated analytical skills and problem-solving acumen
• Strong written and oral communication skills
• Experience consulting with business owners to identify reporting needs and translate needs to automated, scalable systems
• Highly motivated self-starter able to take ownership of analysis projects from start to finish
• Passion for working in a fast-paced environment, with an ability to adapt quickly to changing priorities
• Project management skills",WeWork,"New York, NY",$41.5k–175k,"Senior Finance Lead, Data Analyst"
79.45,"Moody's is an essential component of the global capital markets, providing credit ratings, research, tools and analysis that contribute to transparent and integrated financial markets. Moody's Corporation (NYSE: MCO) is the parent company of Moody's Investors Service, which provides credit ratings and research covering debt instruments and securities, and Moody's Analytics, which offers leading-edge software, advisory services and research for credit and economic analysis and financial risk management. The Corporation, which reported revenue of $4.2 billion in 2017, employs approximately 11,900 people worldwide and maintains a presence in 41 countries. Further information is available at www.moodys.com.
Operations & Data Controls, CFG

Financial Data Analysts have a significant input to the ratings and research process by analyzing financial statements and data provided by Issuers.
• The FDA uses accounting and finance knowledge and judgment to perform financial statement analysis... adjust reported data per relevant methodology requirements and review and analyze ratios
• Responsible for reviewing and understanding financial statements, official statements and other documents related to issuers’ performance
• Work directly with ratings and support analysts to explain the data, adjustments and other information needed by the rating team for ratings and research
• Frequently liaise with analysts and accounting specialists in order to understand the application of accounting concepts on a particular entity
• Create documentation and provide guidance to support analysts and outsourcers
• Review, adjust and publish data to external market participants
• Regularly interact with Moody's ratings analysts regarding financial and operational data needed for analysis and publications
• In addition to regular daily responsibilities, FDAs will have the opportunity to work on new projects such as technology projects, accounting changes, analytic reviews, methodology updates and implementation of process improvements
• The team is regularly provided with valuable training classes and interaction with Analysts as part of knowledge transfer and career growthThe FDA position provides a unique opportunity to foster skills that are valuable to any future career in the financial services industry.

Qualifications

Required
• B.A. or B.S. degree required
• 1-3 years of relevant work experience required (can include internship experience).
• Knowledge or prior experience in analyzing financial statements is required
• Individual must be organized, dependable, able to multi-task and manage priorities, display initiative, and have the ability to work independently in a demanding, fast-paced environment
• Strong organizational, communication (verbal & written), and interpersonal skills are required
• Candidate must have the ability to quickly transition as priorities change to meet demands
Preferred
• Major specializations in Accounting, Finance, or Economics preferred
• Strong knowledge of Microsoft Office products and particularly Excel, such as pivot tables, lookups, etc.
• Knowledge or prior experience in accounting is a plus

Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, gender, age, religion, national origin, citizen status, marital status, physical or mental disability, military or veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Moody’s also provides reasonable accommodation to qualified individuals with disabilities in accordance with applicable laws. If you need to inquire about a reasonable accommodation, or need assistance with completing the application process, please email accommodations@moodys.com.. This contact information is for accommodation requests only, and cannot be used to inquire about the status of applications.

For San Francisco positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the San Francisco Fair Chance Ordinance. For New York City positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the New York City Fair Chance Act. For all other applicants, qualified applicants with criminal histories will be considered for employment consistent with the requirements of applicable law.

Click here to view our full EEO policy statement. Click here for more information on your EEO rights under the law.

Candidates for Moody's Corporation may be asked to disclose securities holdings pursuant to Moody’s Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary",Moody's,"New York, NY",$47.9k–63.1k,Financial Data Analyst
98.15,"Fullscreen is seeking a Data Analyst to join our New York team. This is a highly analytical and strategic position within Video Labs, the video strategy division within Fullscreen. You would be responsible for the analysis and reporting of a Global Entertainment and Media Network to enhance their social video performance and content strategy.

The ideal candidate would have previous experience with and a passion for social video platforms, digital entertainment, and brand marketing. Candidates must be highly motivated, professionally mature, and possess communication skills. You must be willing to work in a fast-paced, dynamic and growing environment.
RESPONSIBILITIES
• Interface with brand clients to understand and deliver on their custom reporting needs
• Work with account teams on data collection, pulling of platform metrics, information sharing, and department-wide collateral
• Work with internal teams to create custom reporting solutions
• Create visually clear presentations and... one-sheets based on research and analysis
• Provide product development recommendations around emerging metrics
• Actively participate in department and company culture, training, and development initiatives
• Other duties as assigned

QUALIFICATIONS
• 2-3 years Data Analysis & Analytics experience in a fast-paced business environment (agency preferred)
• Demonstrable Excel mastery working with large data sets.
• Strong SQL experience. Ability to write complex SQL queries.
• Up-to-date knowledge of Facebook and Youtube platform functionality
• A deep interest in online video and marketing strategy. Comfortable with research and analytics
• Passionate about online video across a variety of genres (Comedy, Drama, Gaming, How-TO)
• Ability to predict and anticipate future opportunities and challenges and create solutions in advance
• Ability to think creatively and communicate complex solutions efficiently both internally and externally
• Flexibility to succeed in innovative, sometimes ambiguous situations
• Proven ability to turn data into knowledge, and knowledge into insights
• Time management and quantitative/analytical skills required
• Self-directed and capable of working effectively in a highly dynamic and fast-paced environment
• Solid team player while also possessing a strong desire to win and grow personally and professionally
• Excellent written and verbal communication skill
• Proficiency in the following: PowerPoint (Keynote a bonus), Excel, Google Drive, Dropbox
• Proficiency with time / email-inbox management - Gmail, Google Calendar
• Bachelor’s degree with a major in Math, Statistics, Finance, Economics, etc. is strongly preferred (MBA a plus)

BONUS POINTS
• Social media agency, digital agency, or online video experience
• Completion of key social platform certifications (YouTube Certified, Facebook Blueprint, etc)
• Experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
• Experience with Tableau or other data visualization tools
• Experience with Python manipulating data and parsing data sets using Numpy

PERKS & BENEFITS
• Use What You Need paid time off
• Flexible dress code
• Kitchen stocked with snacks
• Pet Insurance
• Catered meal on Fridays
• Health, dental and vision benefits
• 401(k) with a company match
• Both paid maternity time and paid paternity time
• Dog-friendly Fridays

ABOUT FULLSCREEN:

Fullscreen is a social content company that provides creative, strategy, and marketing services for both talent and brand clients in order to grow, engage, and monetize their social audiences. Its unique clientele includes over 400 brands and over 2,500 creators and celebrities that generate more than 7 billion monthly video views across a global network of social channels.

For talent clients, Fullscreen provides management services, multi-platform content optimization, brand partnerships, and a powerful technology platform that helps our talent seamlessly analyze their data and create meaningful relationships with their fans.

For brand clients, Fullscreen works closely with marketers who seek to engage the new generation of consumers for whom social reach and community-building are essential for driving both brand awareness and affinity. Using proprietary data and technology, we predict and track consumer behavior to develop culturally-relevant social content based on trend insights.

Fullscreen has offices in Los Angeles and New York as well as team members across the country. Please visit fullscreen.com for more information.

Fullscreen, Inc. is an equal opportunity employer. This means we are committed to recruiting, training, compensating and promoting our employees regardless of race, color, religion, sex, disability, national origin, age, sexual orientation, gender or any other protected classes as required by applicable law that might make us unique or different. As a media company, we are dedicated to reflecting the diversity, multiculturalism, and inclusion found in our viewers, creators, and partners. Inclusion is at the heart of what we do, from the way we craft our job descriptions, to the values we espouse daily",Fullscreen,"New York, NY",$50.2k–95.9k,Data Analyst
