avg_salary,body,company,location,salary,title
,"DATA ENGINEER

NEW YORK

As a Data Engineer at our firm, you will play a critical role in managing vast amounts of data that drive our automated trading platform. You will be tasked with developing architectures that will help qualify, process, normalize, and integrate data into machine learning systems. You will be the advocate of all things data and its potential to drive our research and trading efforts.

The nature of the problems we work on are really challenging, hence we hire some of the world's top talent to develop novel AI methods and trading strategies. Our team of talented researchers and technologists have been recognized as leaders in their field. We are passionate about hiring the best and the brightest, empowering them with the tools and mentorship needed to be successful. Our environment is highly collaborative and open, fostering innovation and growth.

If you possess the following, we would love to explore what is available for you with our team:
• Bachelor's degree... in Computer Science or related field from a top tier university
• 3+ years' experience in data engineering or related software engineering
• Demonstrable experience with Python and SQL. C++14/17 is beneficial
• Experience with columnar time series databases such as KDB would be welcome
• Experience with distributed systems (Condor, Hadoop, Spark) in a Linux environment
• Experience with data warehousing, ETL processes, and database schema design
• Ability to troubleshoot any performance, system, or data-related issue
• Previous experience in the design, optimization, and support of big-data ecosystems
• Strong communication skills to effectively collaborate with machine learning researchers, traders, and other engineers
• Have an interest and enthusiasm for learning about financial markets (previous experience not required)

While we are serious about our work at our company, we also promote a fun startup environment!

You can expect:
• Ping pong and poker games
• Team outings, such as go-karting and cooking classes
• Power stretching and floatation therapy
• Unlimited office snacks
• Free breakfast, lunch, and dinner
• Gym Membership
• Meditation",Quantitative Systems,"New York, NY",,Data Engineer for Trading Firm
164.1,"The Role

At WeWork, data sits in the center of our business, providing insights into the effectiveness of our physical and digital product & features. We believe data brings everything together and it is the only way we make decisions.

As a Data Engineer focused on Data Modeling in the Engagement Mission, you will build robust ETL pipelines and data models which power the products that foster connections between our members and the things that make them happier & more successful.

You will work closely with other engineers, analysts and product managers to evolve WeWork’s member experience by delivering technology that allows us to create intelligent environments and connected, consciously-engineered communities in all of our spaces.

Who You Are

You're a data engineer with extensive experience designing, implementing data solutions for various business challenges, and leading database and data warehousing initiatives.

You're motivated to enable and collaboration with engineering... data science, machine learning, and product teams to tackle the most challenging business needs of a hyper-growth business.

Responsibilities
• Build well-structured data models, using the right tool for the job
• Implement systems tracking data quality and consistency
• Develop tools supporting self-service data pipeline management (ETL)
• Provide analysts and data scientists with technical support related to data modeling
• Work closely with infrastructure teams on design and implementation of data solutions
• Work with various team and executive stakeholders to define mission-critical metrics and key performance indicators (KPIs)
• Drive training on metrics and self-service data platforms to enable a stronger data culture
• Own and provide BI development tools for internal use
• Help implement and maintain a comprehensive data dictionary

Requirements

We are after individuals who are highly motivated, intelligent, and have a great track record. In addition to strong analytical and quantitative skills, you should have:
• 5+ years functional experience in a data engineering or business intelligence role
• Proficient in data modeling and systems design skills
• Proficient in any flavor of SQL
• Proficient in at least one scripting language (ideally Python)
• Experience building and maintaining robust ETL pipelines
• Experience with version control systems (we use Git)
• Experience in at least one of our BI platforms (Looker and Tableau)
• Excellent written and verbal communication skills
• Demonstrable ability to collaborate with data scientists and software engineers, as well as with non-technical business users
Nice to Have
• Experience with AWS
• Experience with Apache Airflow, Spark
• You enjoy telling a compelling story with data
WeWork Mission

WeWork is the platform for creators, providing hundreds of thousands of members across the globe space, community, and services that enable them to do what they love and craft their life's work. Our mission is to build a world where people work to make a life, not just a living, and our own team members are central to that goal.

We are building software for physical space that uses data and technology at each point in the building process, such that it can make better sourcing decisions, improve its designs, build faster and smarter, and ultimately improve the lives of the people working within its buildings.

Our state of the art technologies and dedication to technological innovation are key reasons why WeWork has been able to scale from operating one workspace location to more than 210 in just over eight years.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",WeWork,"New York, NY",$91.6k–145k,Data Engineer
191.5,"Manager, Data Engineering, Mass Media Entertainment Company

New York, NY

$140,000 - $200,000 + excellent benefits

THE COMPANY

Are you looking for an exciting opportunity to leverage technology at mass media entertainment company? The perfect person for this role is an experienced hands-on data engineer who will be lead and contribute to the collaboration with other teams to design and build data-forward solutions.

THE ROLE

This is the perfect role for you if you are a big picture thinker who is keen to solve problems and develop data solutions. You are an excellent communicator and confident presenting technical details to colleagues ranging from junior engineers to senior-level management. This is a very hands-on role with the Engineering team.

In particular you can expect to be involved with the following:
• Developing efficient and robust programming in Python or Scala
• Play a leading role in designing and building out Big Data solutions
• Application and development of... cloud architecture and data pipelines
• Managing a small team
• Working in a prodcution environment
• Leading the entire build out of backend data structures

YOUR SKILLS AND EXPERIENCE

The successful Data Engineer will likely have the following skills and experience:
• Bachelor’s or Master’s degree in Computer Science, Engineering, or related technical disciplines
• Very advanced expertise in programming with Java, Python, or Scala
• Highly experienced in Big Data solutions, particularly Hadoop and Spark
• Exposure to cloud computing technologies such as AWS
• Have experience in Machine Learning and AI development

THE BENEFITS

The salary for this role is up to $200,000 depending on your experience. You will be privy to great benefits and a fantastic healthcare package.

HOW TO APPLY

If you are interested, please express your interest by applying via the link on this page.

KEYWORDS

Engineer | Python | AWS | ETL | SQL | Hadoop | Engineering | Data | Analytics | Startup | HealthCare ",Harnham,"New York, NY",$107k–169k,Manager Data Engineering
164.1,"The Company:

GIPHY is the world’s largest platform to search, discover, and create all the GIFs. We're the leading brand in short-form entertainment and visual communication.

GIPHY is integrated in iMessage, Facebook, Instagram, Snapchat, Twitter, Tinder, Slack, WhatsApp and many more, serving over 7 billion GIFs daily to over 500 million people across the globe. We are also creating the largest distributed ad platform for short form media.

We’re a creative and passionate group of GIF-obsessed individuals continuing to build out what we believe is the future of communication. We have big goals and are looking for like-minded, talented people to join us.

The Opportunity:

We’re looking for a Data Engineer who thrives at the intersection of data, product, and engineering. The ideal candidate will have a strong technical and analytical background.

You will provide insight/support to the product and engineering teams that power both internal and external products including GIPHY.com... GIPHY mobile apps, and our many API integrations such as Facebook, Instagram, Snapchat, and Slack. Our public API services billions of requests and traffics many petabytes of media per month.

You'll be joining a wildly creative, fun and talented group of individuals who are passionate about building out the future of micro entertainment.

What You'll Do:
• Architect pipelines and infrastructure to manage the growing scale and diversity of data at GIPHY
• Design and build systems that measure and maintain data integrity
• Collaborate across the engineering organization to lead data-driven initiatives and define data engineering best practices
• Support data scientists in doing in-depth investigations leveraging large and complex data sets
• Work with languages such as Scala, Python; and tools/libraries such as Spark, Databricks, Luigi, Redshift, Athena, Elasticsearch, Kinesis, Kubernetes/Docker

Who You Are:
• Requirements 2+ years data engineering experience
• BA/BS in Computer Science, Math/Finance, Physics, Applied Economics, Statistics or other technical field preferred or relevant experience
• Strong communication skills, creative problem-solving and curiosity is a must
• Ability to decompose large, complex problems into smaller actionable parts
• Experience with open source data technology preferred
• AWS experience a plus
• Sense of humor and love of GIFs

This is a full time salaried position, including stock options, fully covered health insurance, 4% 401K match, 4 month maternity leave (additional 2 months of transition), 1 month paternity leave (additional 2 months of transition), free lunch every day, free gym membership and lots of other fun perks",GIPHY,"New York, NY",$91.6k–145k,Data Engineer
202.0,"Help us Build the Future of Money
Gemini Trust Company, LLC (Gemini) is a licensed digital asset exchange and custodian. We built the Gemini platform so customers can buy, sell, and store digital assets (e.g., Bitcoin, Ethereum, and Zcash) in a regulated, secure, and compliant manner.
Digital assets and blockchain technology have the power to transform the world for good. This truth, along with our core values, form the bedrock of our company and culture. At Gemini, no job is too small and no project too big as we endeavor to build the future of money. We are a mission-driven, team-based, inclusive, and determined community of thought leaders who invest in each other and the long game. Join us in our mission!
THE DEPARTMENT: DATA ENGINEERING
THE ROLE: SENIOR DATA ENGINEER
As a member of our data engineering team, you’ll shape the way we approach data at Gemini by using your engineering, analytical and communication skills to work with teams across the business. You know how to ask the... right questions and are passionate about using data to support and drive informed business decisions. You are ready to roll up your sleeves and are excited to take on challenging opportunities and projects. You’ll mentor data engineers and analysts and guide our internal teams to use data to improve the product and achieve KPIs. Communicating your insights with leaders across the organization is paramount to success.
RESPONSIBILITIES:
Design, architect and implement best-in-class Data Warehousing and reporting solutions
Lead and participate in design discussions and meetings
Mentor data engineers and analysts
Design, automate, build, and launch scalable, efficient and reliable data pipelines into production
Build real-time data and reporting solutions
Design, build and enhance dimensional models for Data Warehouse and BI solutions
Research new tools and technologies to improve existing processes
Develop new systems and tools to enable the teams to consume and understand data more intuitively
Partner with engineers, project managers, and analysts to deliver insights to the business
Perform root cause analysis and resolve production and data issues
Create test plans, test scripts and perform data validation
Tune SQL queries, reports and ETL pipelines
Build and maintain data dictionary and process documentation
MINIMUM QUALIFICATIONS:
7+ years experience in data engineering with data warehouse technologies
7+ years experience in custom ETL design, implementation and maintenance
7+ years experience with schema design and dimensional data modeling
Experience building real-time data solutions and processes
Experience building and integrating web analytics solutions
Advanced SQL skills is a must
Skilled in programming languages Python and/or Java
Experience with one or more MPP databases(Redshift, Bigquery, Snowflake, etc)
Experience with one or more ETL tools(Informatica, Pentaho, SSIS, Alooma, etc)
Strong computer science fundamentals including data structures and algorithms
Strong software engineering skills in any server side language, preferable Python
Experienced in working collaboratively across different teams and departments
Strong technical and business communication
PREFERRED QUALIFICATIONS:
Kafka, HDFS, Hive, Cloud computing, machine learning, text analysis, NLP & Web development experience is a plus
NoSQL experience a plus
Experience with Continuous integration and deployment
Knowledge and experience of financial markets, banking or exchanges
It Pays to Work Here
We take a holistic approach to compensation at Gemini, which includes:
Competitive base salaries across all departments
Ownership in the company via profit sharing units
Amazing benefits, 401k match contribution, and flexible hours
Snacks, Perks, Wellness Outings & Events

Gemini is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. If you have a disability or special need that requires accommodation, please let us know",Gemini,"New York, NY",$114k–176k,Senior Data Engineer
201.5,"DESCRIPTION

The AWS Well-Architected Tool team is hiring Data Engineers!!

Imagine if you could help shape the future of architecture, and go on a journey where few have tread before. AWS Well-Architected aims to help our customers develop technical expertise in AWS services, learn how to architect their cloud applications, and provide a great experience for customers and partners.

AWS is one of Amazon’s fastest growing businesses. More than a million active customers, from Airbnb to SAP, use AWS Cloud solutions to deliver flexibility, scalability, and reliability. As a Data Engineer at Amazon, your Primary responsibilities will be
· Design, implement and support an analytical data infrastructure providing ad-hoc access to large datasets and computing power.
· Interface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQL and AWS big data technologies.
· Creation and support of real-time data pipelines built on AWS... technologies including EMR, Glue, Kinesis, Redshift/Spectrum and Athena
· Continual research of the latest big data, elasticsearch and visualization technologies to provide new capabilities and increase efficiency
· Working closely with team members to drive real-time model implementations for monitoring and alerting of risk systems.
· Collaborate with other tech teams to implement advanced analytics algorithms that exploit our rich datasets for statistical analysis, prediction, clustering and machine learning
· Help continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customersBASIC QUALIFICATIONS

· Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline
·
· 4+ years of industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating, processing, and extracting value from large datasets
·
· Demonstrated strength in data modeling, ETL development, and data warehousing
·
· Experience using big data technologies (Hadoop, Hive, Hbase, Spark etc.)
·
· Experience using business intelligence reporting tools (Tableau, Business Objects, Cognos etc.)
·
· Knowledge of data management fundamentals and data storage principles
·
· Knowledge of distributed systems as it pertains to data storage and computing
PREFERRED QUALIFICATIONS

· Experience working with AWS big data technologies (Redshift, S3, EMR)
·
· Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy
·
· Experience providing technical leadership and mentoring other engineers for best practices on data engineering
·
· Familiarity with statistical models and data mining algorithms
·
· Knowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operations
·
· Masters in computer science, mathematics, statistics, economics, or other quantitative fields.

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Amazon,"New York, NY",$127k–149k,Data Engineer
,"Cherre is upending the real estate sector with a cutting edge data science approach to traditional real estate. We built a platform to enable data driven real estate investment. We provide both real time real estate valuation, analytics and information to help investors decide on property purchase opportunities. Over the past 3 years we have become the realtime backend to the largest MLS systems, insurance, finance approval systems. We are also known for cutting edge web applications which allow agents to design & prepare their marketing materials & portfolio & research from their browser, tablet and phone.

We are looking for an enthusiastic senior data engineer who is interested in working with a fast-growing team in building industry-leading real estate data services. You will be part of designing and implementing server side services to ingest, organize, analyze, and display real estate data and insight. You will be working in a small team and be a real partner in the design and... implementation of all aspects of our product.

You will
• Develop and implement ETL processes
• Design data warehouse solutions to support ETL processes and data analytics applications
• Write SQL/NoSQL database queries, stored procedures, triggers, user defined functions, analytic functions, etc.
• Own features that you develop end to end, develop and test your code, implement new processes in production, and maintain and support them over time
• Drive our data platform and help evolve our technology stack and development best practices
• Develop and unit test assigned features to meet product requirements

Required
• BS/MS/PhD in CS or related field
• Strong experience in database technologies and data warehousing
• Strong experience in Javascript or Python
• Experience with service oriented architecture and good understanding of distributed systems, data stores, data modeling, and indexing (experience with Event Sourcing and/or CQRS preferred)
• Hands on experience developing APIs and SDKs
• Hands on experience with MongoDB, PostgreSQL, and large-scale distributed storage and database systems
• Ability to deal with ambiguity and communicate well with both technical and non-technical teams

We'd love the following experience
• React
• GraphQL
• Elasticsearch
• BI tools (i.e. Looker)

Our culture isn't for everyone and that's ok. Our goal is to find people who share our values and can enhance our environment by teaching us the best parts of what they've learned previously.

At the top of the mountain we are all snow leopards - Hunter S. Thompson

Note to Agencies: Please don't send us unsolicited resumes. If we don't have an agreement in place, we will consider that submission a donation. Thank you for understanding",Cherre,"New York, NY",,Senior Data Engineer
,"Our data engineers build tools and infrastructure to gather, prepare, analyze, and visualize art auction data. They work closely with data scientists and software engineers to productionize models, and with art experts to incorporate domain knowledge.

The data is composed of numerical, categorical, image, text, and temporal variables stored primarily in Postgres and analyzed in Docker images on a Kubernetes cluster on Google Cloud. We use the Python data science and machine learning stack: Python 3, jupyter, pandas, numpy, scikit-learn, seaborn, PyTorch, TensorFlow, NLTK, gensim, SpaCy, OpenCV, PIL, and others.

Responsibilities

We’re looking for a Data Engineer to:

- Work with our software engineers to refine the data pipeline and productionize models

- Interface with the operations team to incorporate art domain expertise into our models

- Perform analysis and investigations of our data to better understand what drives art prices

- Build out infrastructure, testing, model... validation, and data visualization systems

- Incorporate knowledge and algorithms from many different domains

Qualifications

Candidates ideally have most of the following:

- BS/MS in Computer Science, Data Science, Engineering or some equivalent

- 1-2 years of work experience, preferably startup experience

- Software architecture experience

- Experience working with Data Science Python libraries

- Experience working in professional environments

- Intrinsic motivation and the ability to learn quickly

- Strong communication skills and ability to work with a team

- Experience working at a start-up is a plus

- Art knowledge or industry experience is a plus

- Business/finance knowledge is a plus

Benefits

- Unlimited Vacation

- 401K

- Health Insurance

- Snacks and team bonding events

- Flexible scheduling and option for remote work if needed

Location

All positions are competitively compensated and based in SoHo, NYC",Arthena,"New York, NY",,Data Engineer
,"Our data engineers build tools and infrastructure to gather, prepare, analyze, and visualize art auction data. They work closely with data scientists and software engineers to productionize models, and with art experts to incorporate domain knowledge.

The data is composed of numerical, categorical, image, text, and temporal variables stored primarily in Postgres and analyzed in Docker images on a Kubernetes cluster on Google Cloud. We use the Python data science and machine learning stack: Python 3, jupyter, pandas, numpy, scikit-learn, seaborn, PyTorch, TensorFlow, NLTK, gensim, SpaCy, OpenCV, PIL, and others.

Responsibilities

We’re looking for a Data Engineer to:

- Work with our software engineers to refine the data pipeline and productionize models

- Interface with the operations team to incorporate art domain expertise into our models

- Perform analysis and investigations of our data to better understand what drives art prices

- Build out infrastructure, testing, model... validation, and data visualization systems

- Incorporate knowledge and algorithms from many different domains

Qualifications

Candidates ideally have most of the following:

- BS/MS in Computer Science, Data Science, Engineering or some equivalent

- 1-2 years of work experience, preferably startup experience

- Software architecture experience

- Experience working with Data Science Python libraries

- Experience working in professional environments

- Intrinsic motivation and the ability to learn quickly

- Strong communication skills and ability to work with a team

- Experience working at a start-up is a plus

- Art knowledge or industry experience is a plus

- Business/finance knowledge is a plus

Benefits

- Unlimited Vacation

- 401K

- Health Insurance

- Snacks and team bonding events

- Flexible scheduling and option for remote work if needed

Location

All positions are competitively compensated and based in SoHo, NYC",Arthena,"New York, NY",,Data Engineer
,"About Your Role:

As a Data Engineer, you will empower users at Dotdash to make data-driven decisions and gain valuable insights into our business. The DataOps team facilitates the free and open use of data across the organization and encourages data culture through weekly meetings, outreach and technical consulting. We are a small, passionate team looking for a data geek with a broad skill set and data chops.

About Your Contributions:
• Build and maintain data integrations
• Deploy code and machines to AWS to create and improve our existing data tools
• Curate our Data Lake to constantly improve our user experience
• Understand scalability issues and adapt systems to evolving user and business needs
• Find ways to use new and exciting technology to solve engineering challenges

About You:
• Experience building data integrations with Python, Spark or Java
• Experience with engineering in the Cloud – preferably on AWS
• Experience with Hadoop, Hive, Spark and/or AWS EMR
• Comfortable... writing SQL queries to analyze data
• Proficient in the Linux CLI
• Ansible, Puppet, Chef experience a plus
• Strong analytical and problem solving skills
• Bachelor’s degree in Computer Science, Computer Engineering, Information Technology, or a closely related technical field or foreign equivalent

About Us:

For more than 20 years, Dotdash brands have been helping people find answers, solve problems, and get inspired. We are one of the top-20 largest content publishers on the Internet according to comScore, a leading Internet measurement company, and reach more than 30% of the U.S. population every month. Our brands collectively have won more than 20 industry awards in the last year alone and, most recently, Dotdash was named Publisher of the Year by Digiday, a leading industry publication. Our brands include Verywell, The Spruce, The Balance, Investopedia, Lifewire, Byrdie, MyDomaine, TripSavvy and ThoughtCo.

Dotdash embraces inclusivity and values our diverse community. We are committed to building a team based on qualifications, merit and business need. We are proud to be an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",Dotdash,"New York, NY",,Data Engineer
