avg_salary,body,company,location,salary,title
193.0,"Position Summary
Our Team
The Global Data & Advanced Analytics team enables Discovery Inc to turn data into action. Using big data platforms, data warehousing and business intelligence technology, audience data, advanced analytics, data science, visualization, and self-service analytics, this team supports global company efforts to increase revenue, drive audiences, and enhance consumer engagement.

The Role
As part of a growing team that is innovating the way Discovery does business around the world, the Data Science Sr. Manager will be responsible for managing and executing high impact data science projects to support our Ad Sales, Finance, Research, and Media business partners. These efforts will include optimization of revenue, viewership, engagement, retention, content value, and customer value for multiple media platforms. Specifically, you’ll be responsible for managing the development and operationalization of mathematical/statistical analyses, hypothesis tests, and... algorithms/models. You’ll also be responsible for managing refinement and execution of operationalized algorithms and models.

You’ll need to be an innovative forward-thinker who will manage end-to-end execution of data science initiatives, mentor and direct data scientists, and contribute directly to existing and emerging business strategies and goals. Communication and ability to work in a collaborative team environment are essential.

You’ll work with the Global Data Science Team Lead, data & analytics team, data engineering team, and business stakeholders to manage development, refinement, and scaling of data products. Therefore, this role requires strong technical and communication skills, creativity and attention to detail, experience managing data scientists, and experience managing data science projects from end-to-end – from use case definition to final product delivery.
Responsibilities
Management Responsibilities
1. Meet with business stakeholders to flush out use cases and key requirements
2. Collaborate with data & technology teams to identify & source data sets required for analyses
3. Provide regular updates to and receive strategic direction from Global Data Science Team Lead
4. Support Global Data Science Team Lead in setting up cadence of regular communication with senior level management and business stakeholders
5. Agree on project deliverable timelines with data scientists & relevant data, technology, and business partners; Manage project execution according to agreed timelines
6. Provide direction to data scientists and review data science approaches, code, & deliverables
7. Prepare and communicate insights from analyses to Global Data Science Team, senior level management, and business stakeholders in clear business terms
8. Assist in making data science techniques approachable and understandable to non-data scientists
9. Identify appropriate data science solutions as new data-centric business problems arise
10. Support Global Data Science Team Lead in developing and implementing data science framework, processes, and best practices
11. Stay current with new data science methods, technologies, and industry trends

Technical Responsibilities
1. Apply data mining techniques to cleanse and explore large, complex data sets in preparation for further analysis
2. Apply appropriate data reduction, feature selection, and feature engineering techniques
3. Develop and implement hypothesis tests
4. Develop, validate, and operationalize appropriate mathematical and statistical algorithms and models; including implementation on large scale systems
5. Review, make enhancements to, and execute operationalized algorithms and models
6. Develop data products to communicate insights to business stakeholders
7. Collaborate with data & technology teams to create repeatable processes and scalable data products
Requirements
• Master’s or PhD degree in a quantitative field (statistics, computer science, physics, etc.)
• Minimum of 5-8 years proven business experience and technical expertise in data science
• Experience cleansing and preparing large, complex datasets for analysis
• Expertise applying statistics or machine learning in a professional or other intensive problem-solving environment with large, complex datasets
• Experience with hypothesis testing, clustering, regression & classification, time series analysis, & optimization
• Expertise in statistical programming languages such as R or the Python scientific stack (NumPy, SciPy, scikit-learn, etc.)
• Professional-level expertise in developing, validating, and executing algorithms and models on large scale systems
• Experience with SQL
• Experience with Amazon Web Services (RedShift, S3, EC2, EMR, etc.) and Apache Spark preferred
• Familiarity with data visualization applications, like Tableau or RShiny
• Self-starter with strong analytical, critical thinking, and problem solving skills
• Excellent communication skills -- ability to present complex information in a concise and compelling manner
• Previous management of data science project execution and data scientists
• Prior media or direct-to-consumer industry experience preferred
• Must have the legal right to work in the United States",Discovery Digital Media,"New York, NY",$106k–174k,Senior Manager- Data Science
174.0,"Head of Data Science and Analytics

Overview

OUR STORY

We are a company with integrated luxury and lifestyle offerings centered on Movement, Nutrition and Regeneration. In addition to Equinox, our other brands, Blink, Pure Yoga, SoulCycle, Furthermore, and Equinox Hotels are all recognized for inspiring and motivating members and employees to maximize life. Within our portfolio of brands, we have more than 200 locations within every major city across the United States in addition to London, Toronto, & Vancouver.

OUR CODE

We are passionate about high performance living and we practice what we preach – investing time in our own health and fitness. We believe that everyone has untapped potential within them and it takes a disruptive approach to unleash it. We dream big and don’t settle for the status quo. We sweat the details. We never accept less than 110% to help each other deliver the Equinox experience and enable our members to get great results. We are obsessed with what’s new... what’s now, what’s next. Never following, always leading, living ahead of the moment in fashion, culture and consumer behavior. We aren’t just a company; we’re a community vested in each other’s success. We value humility and a team approach at every level of the company.

If you are a high performing individual who is passionate about winning and inspiring others, then we are excited to discuss career opportunities with you.

Job Description

As the Head of Data Science and Analytics you will be responsible for supporting analytic use cases and data science, with specific focus on digital consumer products. You will work closely with the business, as well as technical resources on the Data Insights and broader Technology teams. You will be looked upon to lead team road-maps, present to executives, drive the career development of your team members, and influence all facets of the company’s data science strategies. As the leader of our data science team, you will also be responsible for building on the exceptional the culture of the team, attracting extraordinary data science talent, and elevating the role of data science in the company. You are comfortable owning important and complex project areas from start to finish. You influence entire organizations with the work you do. That work includes defining technical road-maps and driving alignment with less technical partners. You are highly technical and hands-on but you also wear product and project management hats with ease ensuring the success and impact of your work across domains. You care deeply about the growth and well-being of your team and coworkers and bring a servant leadership mentality to every challenge you face. Building a cohesiveness within the team, but also across technical teams within the organization, will be key to the success of this role. You will truly enjoy what they do, be flexible and communicative, and relish learning new things.

Responsibilities
• Work hand-in-hand with the business to solve difficult analytic problems, both tactical and strategic using conventional analytics and data science
• Drive product management responsibility for analytics products and AI digital product capabilities
• Lead by example through dedication, flexibility, and an openness to finding the best solution to a problem, collaborating effectively across the organization
• Collaborate hands on with business, data scientist, and analyst to develop new analytic features using various analytics and machine learning techniques
• Partner closely with data and digital engineering teams to productionalize these new analytic features
• Design, develop, and launch extremely efficient and reliable data pipelines to move data and to provide intuitive analytics to our partner teams.
• Make Equinox data more discoverable and easy to use for Data Scientists and Analysts across the company
• Collaborate with other specialists and Data Scientists to discover the best solutions
• Improve and invest in you team to grow them personally and technically

Qualifications
• You have consistent track record of success spanning 5+ years working in an analytic role with 3+ years working in data science or advanced analytics
• You lead tech leads, and/or people managers and/or ICs (Individual Contributors) in a data science setting for 2+ years
• You are comfortable directing efforts to solve complex and highly impactful quantitative problems.
• You are proficient performing data science at scale with technologies such as Spark and Hive and have fluency in one or more object-oriented languages like Java, Scala, C#, C++
• You are experienced in selection and application of machine learning techniques, both supervised and unsupervised: regression, clustering
• You have hands-on experience and strong working knowledge of data science tooling: notebooks (Jupyter, Zeppelin), Python: Numpy, Pandas, Scikit, Matplotlib
• You are knowledgeable in SQL language for querying and data manipulation
• You have understanding with Redshift/Spark/Hadoop
• You are familiar with writing user/technical stories, working and project management systems (Jira, Trello)
• You excel at documentation with depth expertise in Confluence or other Wiki systems You have expertise around GDPR compliance
• You are creative, flexible, and quick to learn
• You master communication with excellent written, oral, and presentation skills
• You support and have knowledge of agile development practices
• You are a strong leader with a passion for growing teams, finding creative solutions, and building incredible products

Additional Information

AS A MEMBER OF THE EQUINOX TEAM YOU WILL RECEIVE:
• We offer competitive salary, benefits and industry leading commission opportunities for club employees
• Complimentary Club membership
• 30- 50% discounts on all Equinox products and services including Personal Training, Private Pilates, Spa and Café’ services and Shop items

This job description is intended to describe the general requirements for the position. It is not a complete statement of duties, responsibilities or requirements. Other duties not listed here may be assigned as necessary to ensure the proper operations of the department.

Equinox is an equal opportunity employer. For more information regarding our career opportunities, please visit one of our clubs or our website at https://careers.equinox.com/

All your information will be kept confidential according to EEO guidelines. Must have a legal right to work in the United States",Equinox,"New York, NY",$116k–116k,Head of Data Science and Analytics
166.5,"Button’s mission is to build a better way to do business in mobile. Today, we work with some of the largest and most interesting businesses in the world, to connect consumers with what they want at the tap of a button. We build with the consumer experience in mind, and we have a reputation for paving the future of mobile and enjoying the road to get there. Data is at the very core of proving we’re on the right track—and that's where you come in.

As a member of our Data Analytics Team, you will be responsible for empowering everyone at Button to access and use data to advance the business. You will be a partner to our customer success, finance, marketing and product engineering teams, preparing them with key insights from challenging datasets. As an early employee, you will have a foundational role in shaping how the company draws key insights and uses data effectively and consistently in order to drive our business forward.
AS A DATA SCIENTIST YOU WILL:
• Work with our data... warehousing systems to design, build, and maintain analyses and performance visualizations for key customers, major product initiatives, and other internal needs.
• Democratize data at Button by helping to define KPIs, metrics and key terminology that allows the company to communicate and measure ideas consistently.
• Work closely with engineers and data scientists to design and execute on-the-fly experiments, like A/B and multivariate testing of consumer/client facing product features.
• Partner with our customer success, sales and finance teams to tackle their data challenges in short (weekly) tasks or long (quarterly) projects.

WE LOOK FOR TEAMMATES WHO HAVE:
• Experience with SQL and BI tools. We use Tableau, but experience in similar tools like Looker is great too.
• Familiarity with a variety of data sources, such as Redshift, APIs, S3 logs and Athena.
• An open and active approach to sharing knowledge as well as excellent communication skills
• Programming experience in one or more application or systems languages like Python
• Expert critical thinking, problem solving and analytical skills

WHO YOU WILL WORK WITH:
• Wilson Tsao, Analytics Manager: Wilson is a member of the Data Science team at Button. Previously he was in similar roles at Eventbrite, Yingli Solar, and Goldman Sachs. He enjoys playing and watching basketball in his spare time.
• Brad Groff, Director of Data: Brad is the head of the Data team at Button. Before joining us, he ran data science and data engineering at Ordergroove, and managed data science teams at Capital One and Booz Allen Hamilton. In his free time, he can be found engaging in lengthy discussions with his toddler on topics such as which colors are his favorite colors and why, how some monsters can be nice and others can be mean (but sometimes just because they're hungry), and which things are the silliest things.
• Leo Chiang, Data Scientist: Leo is a Data Scientist focused on Analytics at Button. He will nerd out with you over podcasts, music, or running any time! Prior to Button, Leo worked on Progressive campaigns and led a data team at Everytown for Gun Safety.
• Gabriella Porrino, Partner Success Manager: Gabriella works for and with our partners to ensure they are getting the most value (and joy!) out of our platform. In her spare time, Gabriella bikes around NYC in search of tacos and/or vegan desserts.
• Wyatt Harms, Partner Success Manager: Wyatt works on Button's revenue team helping publishers scale in our marketplace so we can make Button the next big tech company. He's a big fan of summer nights on Button's rooftop and podcasts, among other things.

Button is committed to being a welcoming and inclusive workplace for everyone, and we are intentional about making sure people feel respected, supported and connected at work—regardless of who you are or where you come from. We value and celebrate our differences and we believe being open about who we are allows us to do the best work of our lives.

Button is an Equal Opportunity Employer. We do not discriminate against qualified applicants or employees on the basis of race, color, religion, gender identity, sex, sexual preference, sexual identity, pregnancy, national origin, ancestry, citizenship, age, marital status, physical disability, mental disability, medical condition, military status, or any other characteristic protected by federal, state, or local law, rule, or regulation",Button,"New York, NY",$92k–149k,Data Scientist
,"WeWork Mission

WeWork is the platform for creators, providing hundreds of thousands of members around the world with space, community and services that enable them to do what they love and create their life's work. Our mission is to create a world where people work to make a life, not just a living, and our own team members are central to that goal.

The Team

As a Data Scientist Intern in the Engagement Mission, you will use data to contribute to the products that make our members happier and more productive at work. You’ll leverage data that spans across our digital and physical products to help us in creating intelligent environments and connected, consciously-engineered communities in all of our spaces.

Over the course of your summer project, you’ll work alongside our Data Scientists to extract meaningful insights and make recommendations that influence the product roadmap. You’ll contribute as part of a cross-functional product team consisting of product managers, engineers... data scientists, and designers. Ultimately you will form hypotheses and uncover new opportunities using the quantitative tools at your disposal.

The ideal person for this role is highly analytical, a creative problem-solver, passionate about generating hypotheses for business problems, excels at delivering actionable insights, and sees data science as a powerful tool to impact the business.

Responsibilities
• Leverage your skills in problem solving, data analysis, and product sense to provide recommendations that improve our products throughout a summer-long project.
• Work alongside our Data Scientists to determine the right KPIs to measure impact for business initiatives and conduct quantitative analyses to understand the factors that are likely to contribute to those goals.
• Collaborate with Data Engineers, Machine Learning Engineers, and product teams to gain a broad understanding of the breadth of data to inform your analyses.
• Share your insights and recommendations with product stakeholders to guide the product roadmap and priorities.

Requirements
• Currently pursuing a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).
• Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods.
• Familiarity with programming for data analysis; ideally Python, SQL, or R.
• Technical understanding of statistical analysis, machine learning (classification, regression, unsupervised, reinforcement, etc.), predictive modeling, and optimization algorithms.
• Solid oral and written communication skills, especially around analytical concepts and methods.
• Great work ethic and intellectual curiosity",WeWork,"New York, NY",,Data Science Intern - Engagement
,"Who You'll Work With

For ~ 10 weeks over the summer, you’ll work with an Advanced Analytics team in one of our global offices. Blending strategic thinking with hands-on practicality, our teams of consultants and experts work to develop and implement complex analytics strategies that solve our clients' most critical problems.

Our teams are made up of analysts, mathematicians, data scientists, designers, software engineers, product managers, client development managers and general managers with a base of expertise in a function or industry. Data Scientists are staffed on engagements or product teams and are expected to leverage expertise to solve some of the most pressing and complex issues at clients.

Our intern program gives a group of undergraduate students and eligible graduate students first-hand experience with consulting at McKinsey. You will participate in an introductory training program, as well as a range of social activities to get to know your office and the firm. At the... end of the summer, you may receive an offer to join us full-time after completion of your degree.

Please review the team options and locations below to clarify your application preferences.

McKinsey Analytics- (ACRE- Denver, Waltham; Financial Services Lab- Waltham; Geospatial - Waltham; Healthcare Analytics & Delivery- New York, Waltham; Ingenuity- Waltham; Journey Analytics- Waltham; People Analytics- Waltham; Pharma and Medical Products- New York; Public and Social Sector- New York, Waltham, Washington DC)

You will apply an analytical, entrepreneurial mindset to foster innovation driven by analytics, design thinking, mobile and social by developing new products/services and integrating them into our client work

Operations Advanced Analytics- (Boston, Chicago) You will apply your data science toolkit across our operational service areas (ex. Supply Chain, Product Development, Manufacturing, etc.) to devise creative approaches for our clients in areas such as inventory management, predictive maintenance, or logistics network design

Risk Advanced Analytics- (Waltham) You will complete targeted quantitative analyses, build components of advanced models, and apply machine learning algorithms in different fields of risk (strategic risk management, operational/fraud, credit and market risk, pricing, asset evaluation and loss mitigation)

What You'll Do

You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets.

In this role you'll conduct hands-on rigorous quantitative analysis, including getting the data, cleaning it (when necessary / relevant), and exploring it for accuracy. You'll deploy statistical modeling and optimization techniques most suited for the business problem (using R, Python, SQL, and/or other relevant tools). With support, you'll advise client teams on analytic methodologies and approaches to address their specific needs, including discussing data collection, architecture, associated costs and trade-offs, and recommendations.

You'll interpret outputs of statistical models and results to translate input from quantitative analyses into specific and actionable business recommendations and implications. This includes providing detailed documentation of modeling techniques, methodologies, assumptions made and process steps.

You'll manage delivery of analytical solutions to client via written and verbal presentations, including capability building as appropriate. You may advance McKinsey’s overall knowledge base by providing analytical rigor and problem solving to our proprietary knowledge investments.

You'll begin to own an analytics work stream, manage respective tasks and client project team members/experts, while building client relationships. You'll support analytics recruiting efforts (e.g., attends recruiting events, participates in WebExes, etc.)

Qualifications
• University student in their junior year in a STEM related field (Ops Research, Statistics, Applied Math, Engineering, Business Analytics); expected graduation date of December 2019 or May 2020. Or, currently completing your first year in a non-business, 2-year masters program and have less than 2 years of work experience
• Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms
• Experience in one or more programming languages (R, Python, C++, etc.)
• Ability to easily understand the complex algorithm and logic to process data
• Experience working with a large volume of data with ability to solve performance issues
• Practitioner of statistical data quality procedures or test driven approach for quality assurance
• Basic business intuition and clear expertise in analyses with the ability to describe analytic processes, including when and why specific approaches are favored
• Excellent communication and presentation skills with an ability to visualize and report insights creatively in variety of formats to various stakeholders
• Ability to deliver in deadline-driven environment
• Team player with a passion for coaching colleagues and clients
• Willingness to travel up to 80",McKinsey & Company,"New York, NY (+5 others)",,Data Scientist - Summer Intern - University Students
124.0,"We are looking for Data Science Intern to work along side our data scientists to build models that can generalize across and provide value to our 400 plus brands. The ideal candidate can apply their coursework and experience to solve real-world problems and has a knack for solving complex problems with simple solutions. Our internships are designed to challenge and stretch by having our candidates work on some of our hardest problems. Our culture emphasizes making good tradeoffs, working as a team, and leaving your ego at the door.

First-party data is at the core of everything we build and the Data Science team at Bluecore is at the forefront of exploring innovative and exciting ways to activate that data asset. We’re a dedicated team of data scientists and engineers working together to build powerful models that empower marketers to make the right decisions and engage their customers with personalized content. Our approach to building models is an academic one, starting with a... literature search, a baseline, and an iterative process of training and validation to identify the most suitable model that is as simple as possible and as powerful as necessary. We employ a wide variety of models, such as Bayesian models for predicting customer lifetime value, and matrix factorization to identify a customer’s product affinity. Our models operate at scale and crunch through millions of data points to make decisions that have been shown to double revenue and triple reach, and are designed in a flexible manner to generalize across our set of 300+ diverse customers who span industries from apparel to automotive. To explore, build, deploy and maintain models we leverage many tools such as BigQuery, Spark, Cloud SQL, Keras, TensorFlow, Airflow, Google App Engine and Google Compute Engine. Finally, we’re a team that values applied research and constantly exploring the frontier of what’s possible; diving into topics such as topic modeling, restricted Boltzmann machines, recurrent neural networks, convolutional neural networks for image feature extraction, and most recently an extensive dive into differential privacy.
Responsibilities
• Work alongside our data scientists to deliver elegant, generalizable and production ready models
• Explore a problem end-to-end from literature search, to experimental design, to model evaluation, to production

Requirements
• Currently enrolled as a full-time PhD or MS student in Computer Science, Electrical Engineering, Applied Math, Statistics or other relevant quantitative disciplines
• Strong mathematical background
• Experience writing software in a programing language such as Python, C++, Java, or Go (Our backend is primarily in Python) is a plus
• Knack for getting things done, whether it be independently or in a team
• Communicates well in all formats

At Bluecore we believe in fostering an inclusive environment in which employees feel encouraged to share their unique perspectives, leverage their strengths, and act authentically. We know that diverse teams are strong teams, and welcome those from all backgrounds and varying experiences.

Bluecore is a proud equal opportunity employer. We are committed to fair hiring practices and to creating a welcoming environment for all team members. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, age, familial status or veteran status",Bluecore,"New York, NY",$24.5k–199k,Data Science Internship
166.5,"About Care/of

Care/of (takecareof.com) is a fast-growing, venture-backed wellness startup. We make it easier and more enjoyable to shop for vitamins (and maybe even a little fun, too). Our technology makes it possible for people to get custom vitamin recommendations based on their diets and health goals, which we deliver in convenient daily packs with a touch of joy. We aim to help people feel empowered to make the right choices for their health by being transparent about the research backing up our recommendations and the quality of our products. Care/of launched in 2016 and is based in New York City. (And we're excited to meet you.)

About the job

Care/of strongly believes that data science is a key part of our product differentiation and long-term innovation. Our data science team is in a special position to tackle problems across digital product (web and app analytics, recommendations), operations research (inventory), and general behavioral prediction (probabilistic models... time series analysis). The data around our e-commerce products will interact richly with granular measures of users' health and wellness, a domain where machine learning is only recently starting to gain traction.

We are interested in hiring data scientists who specialize in machine learning, as well as highly technical analysts who are comfortable with modern tools of data analysis and the scale of data at a tech company. A data scientist should be able to view an ambiguously defined business problem, iterate on hypotheses, and formalize solutions through a wide variety of quantitative methods.

As part of a small team at a young company, Care/of's data scientists also work closely with engineering to guide the instrumentation of new events and data sources. You will help establish a solid foundation for the data stack at Care/of and build a culture of rigorous analysis across our different departments. It is a truly interdisciplinary role with end-to-end functions from engineering implementations to high-impact business strategy.

Responsibilities
• Perform deep analyses into product performance and customer behavior, with an emphasis on machine learning prediction
• Manage high-dimensional datasets, including with clustering and dimensionality reduction
• Clean and wrangle data from a heterogeneous mix of sources
• Create and maintain data pipelines for scalable reporting and productionized models
• Clearly convey findings through visualization, written communication, presentations, and/or internal tools
• Collaborate cross-functionally to directly impact business metrics, including improving retention and customer lifetime value
• Work closely with the head of data science and executives to inform strategic decisions in marketing, operations, and product

Qualifications
• Bachelor's degree in a quantitative field (math, statistics, computer science, economics, physics). Graduate degree a plus
• 3+ years of analytical experience at a tech startup or finance firm
• Proficiency with Python and the scientific Python suite (numpy, pandas, scikit-learn, matplotlib, Jupyter notebooks)
• Proficiency with SQL
• A solid foundation in statistics (probability distributions, maximum likelihood estimation) and undergraduate math (multivariable calculus, linear algebra)
• Familiarity with deep learning (TensorFlow, Keras, or PyTorch)
• An excellent teacher and storyteller
• Bonus: familiarity with engineering tools (GitHub, Heroku, Docker",Care/of,"New York, NY",$92k–149k,Data Scientist
166.5,"At Via, we're on the cutting edge of mobility. We’re building revolutionary technology that’s changing the way people get around. It's on-demand transit on a mass scale, a smarter transportation that’s friendly to our planet. From on-demand autonomous shuttles in Australia to dynamically routed bus fleets in Singapore, our sophisticated operating system is powering transportation in the world’s biggest cities and is sought after by prominent transportation players globally. We’ve provided more than 50 million shared rides already, and we’re growing at an astonishing rate. We have offices in more than 15 countries, projects in more than 50 markets, and a goal of 200 deployments by the end of 2019. If you’re someone who relishes wearing multiple hats, never backs down from a challenge, and loves getting things done, we’d love to hear from you!

Job Overview

As Data Scientist, you’ll utilize advanced quantitative & statistical analysis techniques to drive business model innovation for... Via, and work closely with our senior management to help drive decisions.

Responsibilities and Duties
• Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights
• Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools
• Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point
• Design and implement novel experiments to better understand current operation as well as expansion to new markets

Qualifications
• Obsessed with data; analytical and rigorous, with a thorough understanding of statistics and machine learning
• Extraordinary communicator with demonstrated writing and editing skills.
• Passionate about elegant visualization; you understand the importance of graphic techniques in communicating a quantitative idea effectively
• Deep understanding of business concepts within strategy, operations, and marketing
• Have a Masters Degree or PhD (statistics, machine learning, physics, math, systems biology, or highly quantitative fields in social sciences), including 2+ years of graduate-level research experience (or the equivalent)
• Have experience with predictive modeling and statistical analysis techniques in a business environment
• Mastery in some or all of the following: SQL, Python, R, and Tableau

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.

Via is an equal opportunity employer",Via,"New York, NY",$92k–149k,Data Scientist
174.3,"Job Description:

As a Director of Data Science and Analytics you will be responsible for building and leading a team of Data Strategists and Data Scientists who play a key role in growing Marks Paneth’s Data Science and Analytics Practice. Your mission is to ensure our clients are enabled with the best-in-class analytical insights and supporting data to ensure optimal business outcomes. In addition, you will interface with other practices across multiple industries to introduce the benefits of data science and analytics as it relates to Marks Paneth’s accounting, tax and advisory services. The ideal candidate is someone with a background in a quantitative discipline that has a passion for crafting data-driven value-based narratives, engaging with clients, and a proven ability to manage in a fast-paced and fluid environment.

Responsibilities:

· Lead the ongoing development of a scalable practice that enable Marks Paneth’s clients to benefit from analytic insights, analytical tools... and data science techniques.

· Drive the strategy and data-driven narrative for Marks Paneth’s Business Value frameworks/toolkit and engage directly with top-tier prospects or clients to help demonstrate value of the Marks Paneth solution

· Oversee the development of industry insights and data-driven thought leadership in order to reinforce Marks Paneth’s technological vision and marketplace eminence

· Define the statistical methods and analytical techniques required to fine tune our client’s analytic proformas.

· Lead the development of best-in-class training materials, client-facing decks, and templates to support analytical education and enablement both internally and externally

Requirements:

· Experience in building teams of information technology professionals.

· 15+ years of work experience working in a data-centric and client-facing role preferably with relevant data science and analytics background.

· Experience leading cross-functional agile work streams and scaling data-driven initiatives.

· Experience leading data transformation efforts from on premise to cloud environments

· Thorough understanding of the analytic ecosystem, meta data, contextual mapping and geospatial analysis.

· Full fluency in analytic/database management software and tool development using SQL, Python, or other analytical languages/software’s (e.g. Qlik, Power BI, Tableau, Alteryx, etc.)

· Exceptional multi-tasking, project management, and leadership skills

· Strong communication skills and client-focused consultative approach",Marks Paneth LLP,"New York, NY",$84.8k–179k,Director of Data Science and Analytics
150.0,"Hinge is hiring a Data Scientist to join the team. As the newest member of the data science team, you will continuously glean actionable insight from massive amounts of data for the purpose of driving product and business decisions.

What You’ll Do
• Translate product and business objectives to data science problems and vice versa.
• Define and report key performance metrics.
• Develop methodologies in sampling, A/B testing, and survey design.
• Apply statistical inference to draw rigorous conclusions from data.
• Use a combination of exploratory analysis and data mining techniques to identify and interpret trends and anomalies.
• Communicate results and make actionable recommendations to stakeholders in Product, Marketing, and Community.

About You
• 2+ years of experience as a data scientist or quantitative researcher
• Proficiency in SQL
• Proficiency in Python or R, especially with data manipulation, analysis, and visualization packages
• Strong theoretical and practical knowledge... of statistics
• Solid understanding of machine learning principles and models
• Experience with business analytics and A/B testing
• Strong sense of intellectual curiosity and comfort with ambiguity
• Exceptional communication skills as demonstrated by the ability to explain complex concepts to both technical and non-technical audiences
• Ability to balance rigor with practicality

Bonus Points:
• Familiarity with Looker
• Working knowledge of Linux (command line)

Objectives in the first three months
• Learn to work with the main data sources and tools at Hinge.
• Familiarize with the Data Science team’s ongoing projects and propose some ideas for iteration.
• Deliver one major analytics project for Product, Marketing, or Community from start to finish.

Our Company

We believe the quality of your relationships determines the quality of your life. So when it comes to your most important relationship, it makes sense to take a more thoughtful approach. Hinge provides an alternative to swipe culture by creating smart matches and natural conversations among people who are on the same page. That’s why 75% of our first dates turn into second dates, and why we’re the #1 mobile-first dating app mentioned in the NYTimes Wedding section. Hinge is where the next generation is going when they’re over dating games and ready to find meaningful connections.

Our Culture
• Open: Invite and deeply consider challenges and criticism.
• Candid: Share your genuine thoughts and opinions directly, in real time.
• Kind: Be empathetic, communitarian and trustworthy.
• Bold: Proactively identify and pursue opportunity. Think big and don’t be afraid to take calculated risks.
• Discerning: Think and act using the appropriate combination of principles, common sense, data, and insight.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",Hinge,"New York, NY",$50k–200k,"Data Scientist, Analytics"
