avg_salary,body,company,location,salary,title
,"Who You'll Work With

Cisco IT Search seeks an experienced IT Engineer with Technical know-how on deep learning and natural language processing technologies and other information retrieval platforms who can extend the boundary of understanding search queries and improve the search relevancy within our enterprise search platform. To help us take on the various NLP problems, you are expected to possess a solid background in NLP, hands-on experience of developing deep neural networks, and skills on building upon large-scale unstructured text data, as well as, structured business data . You’ll join a small, high-caliber team of experts that are passionate about the future brought by AI for Search use cases. ‪Who You Are‬‬‬‬‬‬‬‬

Our Minimum Requirements Are‬‬‬‬‬‬‬‬
• B.S / M.S. in Computer Science with Information Systems / AI specialization
• 2 years of applied Machine Learning / NLP experience in the industry
• Solid knowledge of statistical classifier models (such as, HMM, SVM... deep/recurrent ANN, CRF, LMT, etc.) and of standard methodologies in attribute selection, dimensionality reduction, runtime performance optimization and in CNN/RNNs
• Familiarity with Data Exploratory Analysis techniques. The candidate should be able to quickly develop python notebooks to show insights on the data. This requires knowledge of statistics, and tools like pandas, seaborn and matplotlib
• Familiarity with toolkits, such as, Scikit-learn, numpy, scipy, R, Weka, NLTK, spacy, Stanford CoreNLP
• Knowledge of NLP techniques, such as, PoS tagging, NP chunking, shallow/deepYou have a passion for and deep experience in artificial intelligence, machine learning and natural language processing.
• You thrive in an agile development process.
• You look forward to joining a high caliber team of experts.
• You’re not just looking for a job, you’re looking for innovative solutions where you can make a large impact.
• You’re self-driven and set high expectations for yourself. You take ownership and sweat the small stuff.
• You grow with constructive feedback. You insist that facts drive decisions.
• You deliver results that matter.
• Good teamwork and ability to have constructive discussions is your natural working style.What You'll Do
• Provide technical leadership and subject matter expertise on how to improve the search relevancy and experience by applying deep learning on our data sets and search queries
• Apply state-of-the-art NLP techniques to understand a large amount of unstructured data from our enterprise.
• Build deployable machine learning (deep learning) models and scalable NLP platform that can support real time search applications, impacting large amount of user’s search experience.
• Collaborate with our team members on recommendations, search & ranking
• Utilize steps of the development life cycle and align with test processes
• New opportunities/technologies evaluation
• Understand business context and provide recommendations
• Perform feasibility, impact, technical risks and gap analysis
• Build proof-of-concept

Application design
• Provide technical input to system specifications document
• Provide technical analysis and recommendations
• Develop/Contribute to Technical Project Plan
• Create/Contribute to design document
• Conduct/Participate in design reviews

Application Development, Deployment and Support
• Run Technical Project Plan
• Secure infrastructure environments
• Perform/Coordinate development activities
• Assess impact of change requests; Generate options/implications
• Conduct/Participate in code reviews
• Conduct/Participate in unit testing and performance testing
• Ability to work in DevOps team model
• Support team training
• Post go-live support

Release planning
• Prepare deployment plans
• Perform deployment verification

Technical Leadership
• Lead and mentor technical team
• Provide consultation on relevant technology domain

‪Why Cisco

At Cisco, each person brings their unique talents to work as a team and make a difference.

Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people.

We connect everything – people, process, data and things – and we use those connections to change our world for the better.

We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.

We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.

Colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco

Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.

Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.#WeAreCisco",Cisco,"Durham, NC",,Machine Learning / Deep Learning Developer
169.5,"Type: Full Time
Experience: All Levels

Who we are:

We are Dataminr. We deliver real-time, actionable alerts that are derived from vast amounts of publicly available data. Our groundbreaking AI-enabled platform cuts through the noise in an increasingly complex landscape by detecting, classifying, and determining the significance of public information. Our culture promotes cross team interaction, work-life balance and the sharing of information and ideas because it enables us to do our best work and have fun. We've grown to over 450 talented employees across six global offices, attained unicorn status after our recent investment round, and been referred to as the “super tool of journalists and hedge funds.""

We are a mission-driven company committed to the power of real-time information as a force for good in the world.

Who you are:

You’re a research scientist who has published in top tier conferences and are passionate about having a positive impact on the world. You are... enthusiastic about working on some of the most challenging problems in AI and directly contributing to products while advancing the state of the art. You are very creative, can work independently, and are an excellent collaborator and communicator.

Responsibilities:
• Perform research to advance the state of the art and solve specific problems at scale in one or more of the following areas: transfer learning, reinforcement learning, active learning, information diffusion, image/video/text event classification & semantics, etc.
• Work closely with a diverse, interdisciplinary team to deliver value to customers (existing and new products).
• Contribute to the research community via publications in top tier venues, participation in program committees, etc.
• Excel in placing a human-centered focus on the work (context, end-user impact, etc), finding solutions that work in practice and have significant impact.
• Senior candidates are expected to lead technical areas and/or people.

Minimum qualifications:
• Ph.D. in Computer Science or Electrical Engineering or a related field.
• Experience in one or several of the following topics above, with demonstrated ability to deliver practical solutions.
• Outstanding publication record (CVPR, ICCV, NIPS, ICML, etc.).
• Experience in Java, Scala, Python, or similar languages.
• Demonstrated ability to work independently, set up experiments and demonstrate progress through principled used of metrics.
• Familiarity with machine learning and practical experience in training and deploying models (TensorFlow, PyTorch, Scikit-learn, etc)
• Professional experience in industry (requirement varies depending on level; recent graduates must have had relevant internships).

Why you should work here:

We recognize and reward hard work with:
• competitive compensation package including company equity.
• paid benefits for employees and their dependents, including medical, dental, vision, disability and life insurance.
• 401(k) savings plan with company matching.
• flexible spending account for out-of-pocket medical, transit, parking and dependent care expenses.

We want you to be your best, authentic self by supporting you with:
• a diverse, driven, and passionate team of coworkers who want you to succeed.
• opportunities to own and drive important critical projects.
• individual Learning and Development fund and professional training.
• generous leave and flexible hours.
• daily catered lunch and a fully stocked kitchen.
• And more!

Note: For this role, only candidates with Ph.D.s in the areas above will be considered. If you do not meet that requirement please consider either the Data Scientist or other positions.

Dataminr is an equal opportunity and affirmative action employer. Individuals seeking employment at Dataminr are considered without regards to race, sex, color, creed, religion, national origin, age, disability, genetics, marital status, pregnancy, unemployment status, sexual orientation, citizenship status or veteran status.
#LI-BM",Dataminr,"New York, NY",$113k–113k,Research Scientist (Machine Learning/Deep Learning)
148.3,"Opportunity to join a market leading business, disrupting their industry and generating substantial impact through the implementation of Deep Learning solutions in their continued growth of a best-in-class Data Science team. You will be working with an innovative, AI first, Data Science team.
YOUR ROLE:

Design and implement deployable deep learning solutions that have genuine enterprise level impact.
Evaluate and deliver visionary solutions to apply to various business problems, focusing on adding value and AI led automation.
Work with non-technical stakeholders on the development and execution of product decisions and launches.
Identify promising new areas for continued research & development.
Company:

Intelletec
Qualifications:

YOUR SKILLS:

PhD in a quantitative discipline such as: Statistics, Maths, Computer Science or Engineering (master’s degree considered)
At least 5 years of experience of applying Machine Learning techniques for the purposes of business insight
experience... and understanding of Deep learning methodologies
Experience of working with Hadoop, Pig or Hive
Prior exposure to NLP methodologies & toolkits would be a plus
Educational level:

Ph. D.
Level of experience (years):

Senior (5+ years of experience)

Tagged as: Data Mining, Industry, Ph. D., United States",Intelletec,"New York, NY",$61.8k–173k,Principal Data Scientist – Deep Learning
,"About Paperspace

Paperspace is a high-performance cloud computing and ML development platform for building, training and deploying machine learning models. Tens of thousands of individuals, startups and enterprises use Paperspace to iterate faster and collaborate on intelligent, real-time prediction engines.

Paperspace is backed by leading investors including Battery Ventures, Intel Capital, SineWave Ventures, Sorenson Ventures, Y Combinator and Initialized Capital.

About the role
• This role requires extensive knowledge of Machine Learning, and in particular, Deep Learning. Please do not apply without experience working with modern ML frameworks, Python, neural nets, etc.*

Paperspace is looking for a contract technical writer to generate content (tutorials, guides etc.) on machine learning with an eye towards GPUs. The content should help our community learn about machine learning and leave our readers with approachable, practical projects when they successfully complete a... tutorial. The ideal candidate will have a hybrid background in development and writing/editing and will have a good sense for topics that appeal to the open-source community, developers, hobbyists and data-scientists.

If you are passionate about GPUs, machine learning, and want to learn on some of the most powerful hardware around, this is the role for you. We are looking for candidates who are intensely self-driven and curious about these topics and have experience writing about them.

Example posts:

https://blog.paperspace.com/how-to-implement-a-yolo-object-detector-in-pytorch/

https://blog.paperspace.com/art-with-neural-networks/

https://blog.paperspace.com/dino-run/

Please submit writing samples and tutorial ideas on the application page.

Requirements
• Pursuing a career in computer science, statistics, data science or related fields.
• Strong command of Linux command line.
• Understanding of ML frameworks/libraries like TensorFlow, Keras, PyTorch is required.
• Programming experience a plus.

Also
• Excellent written and verbal English communication skills
• Experience debugging, documentation, and community engagement
• 2+ years of experience in Machine Learning
• Formal or informal experience with teaching
• Experience or interest in instructional writing

This is a part-time contractor position. All qualified applicants will receive consideration for this position without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Please apply via Lever - https://jobs.lever.co/paperspace",Paperspace,Anywhere,,Deep Learning Technical Writer
160.0,"Deep Learning Engineer - Robotics

New York, NY
$140,000 + Equity + Bonus

Harnham have been retained by an industry changing Series C startup to be at the forefront of their growth plans for 2019. With over 60 members, over $40 million in funding, and offices in Boston and New York, this company have revolutionized industrial robots and the AI space with their technology.

The Role

Are you excited to join a team at the forefront of autonomous applications? Do you have expertise in Tensorflow, Pytorch, or Caffe? This is your opportunity to join the new head of robotics and spearhead the growth of the lab! You will lead all Deep Learning efforts for the company whilst paving the way for the future of the R&D facility.
• Building algorithms to allow robots to operate completely autonomously
• Working on developing cutting edge deep learning models
• Building algorithms for fully autonomous robots to work completely independent from human interaction
• Writing code and algorithms for... motion planning and routing
• Supporting junior team members with R&D

Experience Required
• Multiple years in real world industry in working within autonomy, robotics or computer vision
• Extensive experience developing Deep Learning algorithms
• Real world examples of applying, building and using machine learning or computer vision algorithms
• Experience in path planning, SLAM, perception and other forms of robotics autonomy
• PhD/Master's Degree - Computer Science or related
• Must be able to work without sponsorship",Harnham,"New York, NY",$84.5k–151k,Deep Learning Engineer
,"Description

Machine Learning (ML) has been strategic to Leading Internet / New Media Company from the early years. We are pioneers in areas such as recommendation engines, product search, eCommerce fraud detection, and large-scale optimization of fulfillment center operations.

The ML team within AWS provides opportunities to innovate in a fast-paced organization that contributes to game-changing projects and technologies that get deployed on devices and the cloud. As a Deep Learning Architect, youll partner with technology and business teams to build new services that surprise and delight our customers. You will be working with terabytes of text, images, and other types of data to solve real-world problems.

We’re looking for top architects, system and software engineers capable of using ML and other techniques to design, evangelize, and implement state-of-the-art solutions for never-before-solved problems.

The Primary Responsibilities Of This Role Are To
• Use ML tools, such as... Leading Internet / New Media Company SageMaker and Leading Internet / New Media Company Simple Storage Servcie, to provide a scalable cloud environment for our customers to label data, build, train, tune and deploy their models
• Collaborate with our data scientists to create scalable ML solutions for business problems
• Interact with customer directly to understand the business problem, help and aid them in implementation of their ML ecosystem
• Analyze and extract relevant information from large amounts of historical data to help automate and optimize key processes
• Work closely with account team, research scientist teams and product engineering teams to drive model implementations and new algorithms
This position requires travel of up to 30%.

Required Skills

BASIC QUALIFICATIONS
• BS in computer science, or related technical, math, or scientific field
• 7+ years of professional experience in a business environment
• 5+ years of relevant experience in building large scale enterprise IT systems
• 1+ year of public cloud computing experience in AWS
• 1+ year of experience hosting and deploying ML solutions (e.g., for training, tuning, and inferences)
Preferred Qualifications

PREFERRED QUALIFICATIONS
• Masters or PhD degree in computer science, or related technical, math, or scientific field
• Strong working knowledge of deep learning, machine learning and statistics.
• Hands on experience building models with deep learning frameworks like MXNet, Tensorflow, Caffe, Torch, Theano or similar.
• Hands on experience with deep learning (e.g., CNN, RNN, LSTM)
• Experience in using Python, R or Matlab or other statistical/machine learning software
• Strong communication and data presentation skills
• The motivation to achieve results in a fast-paced environment.
• Experience with statistical modelling / machine learning
• Strong attention to detail
• Comfortable working in a fast paced, highly collaborative, dynamic work environment
• Ability to think creatively and solve problems
Leading Internet / New Media Company.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Ivy Exec,"New York, NY",,Deep Learning Architect
190.2,"Senior Computer Vision/Deep Learning Engineer

New York, NY

165,000-180,000 + Equity + Benefits

An established company born out of MIT is looking to hire an enthusiastic Computer Vision engineer with experience in Deep Learning. Do you want to be working on the best AI robots for knowledge work in the industry? This is for you!

THE COMPANY:

At the forefront of the rise of AI and automation, this company is creating technology that allows economies to function, pairing people with robots.

THE ROLE:

As a Computer Vision Engineer you will be working on the most cutting edge AI projects in the market. Working in a vibrant team changing the industry, you'll be challenged in the right way and work with some incredibly bright colleagues that will encourage your work and provide stimulating commercial discussions.
• Programming algorithms in Python
• Partner with Computer Vision team to create Deep Learning methodologies
• Assist with leadership of the team

YOUR SKILLS AND... EXPERIENCE:
• 4-5 years of experience in Python and Deep Learning methodologies (Tensorflow, Keras, etc.)
• D and 2+ years of experience in the industry or 5+ years Masters
• Familiarity with NLP a plus

THE BENEFITS:
• Stock in a game-changing startup with millions in funding
• Casual Fridays
• Healthcare, Dental, 401K options
• Up to 20 days paid vacation",Harnham US,"New York, NY",$92.2k–196k,Senior Computer Vision/Deep Learning Engineer
,"We're building a new team to build out the future of media by leveraging deep learning approaches to unlock things never before possible. Our goal s to use deep learning to analyze and enhance rich media assets (video + audio) from across the internet to improve both end-user experiences as well as our business focused processes.

We're looking leverage modern open source tools to punch above our weight in terms of impact. We're living in the bleeding edge of deep learning and media and this is an opportunity to join on the ground floor in a space with vast, unstructured data, and a wealth of opportunities to grow.

You'll be expected to:

• Collaborate closely with the CEO on architecting and implementing deep learning approaches into our core products.

• Build and evaluate models

• Write, test, and maintain production-quality code implementing these methods

You ideally have:

• BA, BS, MS, PhD in Computer Science, Engineering or related technology field

• A strong quantitative... background. Experience in model evaluation and feature engineering.

• 3+ years of experience programming in C++, Python, or Java

We'd love to see:

• Experience in Deep Learning methods and their applications",BeatThread,"New York, NY",,Deep Learning Engineer
,"Touted by many as a BILLION dollar idea, SkillSoniq is building an ""Uber for Local Freelancers"" AI driven app to revolutionize the old school recruitment space. On SkillSoniq, with the click of a button, freelancers find their next on-site project and employers find their next freelancer. Our mission is to enable companies and workers to start working when and where they want, with the click of a button.

We cater to smaller companies who do not have the budget to hire full-time workers just yet, and rely on low cost, “low quality” outsourced work to get their companies going. Our local, specialized freelancers are affordable, high quality and work with clients on-site. This gives our clients a chance to test these freelancers in the workspace before giving them a full-time gig. This role is an opportunity to join the founding team, and help build a truly revolutionary product for freelancers and employers alike.

What's lacking in job portals today is that they stop collecting data... from job seekers after the job seeker gets a job. Hence, they never find out if an employer has hired someone on their portal. SkillSoniq, on the other hand, continuously seeks to collect data points from freelancers before and after they get a project. This helps us personalize our services to freelancers and employers, power our AI based engines, and ensure that companies and freelancers connect instantly with the click of a button.

We are looking for an experienced Deep Learning NLP Engineer who can:

1. Use NLP techniques like RAKE, TF-IDF and Fuzzy Similarity measures in Python to improve our recommender engine

2. Create and manage training dataset

3. Build a backward propagation deep learning NLP model in Python that self learns from accept/decline decisions made by the employer and from the training dataset

4. Work as a generalist, where he/she both builds models in Python to support the business case, and analyzes market response / data to figure out patterns

More specifically, the job will entail:

1. Cleaning up, reviewing and improving our existing NLP based model (in Python) to enhance data intake, data manipulation and data output processes

2. Reviewing and understanding data output to refine the model on an ongoing basis

3. Using a combination of deep learning NLP and SVM models to convert our rule based recommender engine into a machine learning based engine. This will require creation of a training corpus that expands as more projects are posted and more employer/freelancer decisions are made on our app

4. Integrating NLP Python code into our Ruby on Rails code base on an ongoing basis, and helping make decisions on the architecture of the code and the recommender engine

5. Working in Python, NLP, PostGreSQL, and managing DevOps to ensure regular testing, functioning and deployment of code

Desired Skills and Experience:

1. Candidate should be able to work independently without much direction, other than the founder discussing the business case and desired outcomes

2. Candidate should be based in New York and available to work ~10 a week. Should not hesitate to work longer hours when required

3. Experience in working with startups as the only NLP and Deep Learning Engineer

4. Experience in building NLP models, by utilizing Python libraries such as TensorFlow, Fuzzy similarity, RAKE, TF-IDF, Word2Vec, Doc2Vec

5. Experience in building SVM models backed by training data-sets

6. Experience in building Deep learning neural network models with high prediction

7. Experience with Python, SQL and DevOps a must - Prefer someone who also has experience with Ruby since our master code base is on Ruby on Rails

Compensation:

1. You will receive nominal pay for the first few months, as a part-time freelancer

2. After a few months of trial, you will be offered a full-time job at market rate",SkillSoniq,"New York, NY (+1 other)",,Deep Learning NLP Python Coder
,"DESCRIPTION

Machine Learning (ML) has been strategic to Amazon from the early years. We are pioneers in areas such as recommendation engines, product search, eCommerce fraud detection, and large-scale optimization of fulfillment center operations.

The ML team within AWS provides opportunities to innovate in a fast-paced organization that contributes to game-changing projects and technologies that get deployed on devices and the cloud. As a Deep Learning Architect, you'll partner with technology and business teams to build new services that surprise and delight our customers. You will be working with terabytes of text, images, and other types of data to solve real-world problems.

We’re looking for top architects, system and software engineers capable of using ML and other techniques to design, evangelize, and implement state-of-the-art solutions for never-before-solved problems.

The primary responsibilities of this role are to:

· Use ML tools, such as Amazon SageMaker and Amazon... Simple Storage Servcie, to provide a scalable cloud environment for our customers to label data, build, train, tune and deploy their models
· Collaborate with our data scientists to create scalable ML solutions for business problems
· Interact with customer directly to understand the business problem, help and aid them in implementation of their ML ecosystem
· Analyze and extract relevant information from large amounts of historical data to help automate and optimize key processes
· Work closely with account team, research scientist teams and product engineering teams to drive model implementations and new algorithms

This position requires travel of up to 30%.

BASIC QUALIFICATIONS

Required Skills

· BS in computer science, or related technical, math, or scientific field
· 7+ years of professional experience in a business environment
· 5+ years of relevant experience in building large scale enterprise IT systems
· 1+ year of public cloud computing experience in AWS
· 1+ year of experience hosting and deploying ML solutions (e.g., for training, tuning, and inferences)

PREFERRED QUALIFICATIONS

Preferred qualifications
· Masters or PhD degree in computer science, or related technical, math, or scientific field
· Strong working knowledge of deep learning, machine learning and statistics.
· Hands on experience building models with deep learning frameworks like MXNet, Tensorflow, Caffe, Torch, Theano or similar.
· Hands on experience with deep learning (e.g., CNN, RNN, LSTM)
· Experience in using Python, R or Matlab or other statistical/machine learning software
· Strong communication and data presentation skills
· The motivation to achieve results in a fast-paced environment.
· Experience with statistical modelling / machine learning
· Strong attention to detail
· Comfortable working in a fast paced, highly collaborative, dynamic work environment
· Ability to think creatively and solve problems

Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation",Amazon,"New York, NY",,Deep Learning Architect
