avg_salary,body,company,location,salary,title
,"Digital Marketing Coordinator- Tech | New York, NY Informa Tech is looking for a creative and organized Digital Marketing Coordinator to support the Digital Marketing Team on SEM and SEO efforts for our industry leading events and sites, including GDC, Interop, Enterprise Connect, HDI, Black Hat and more. The Digital Marketing Coordinator is someone who likes to work with different teams; someone who's looking for a growth position; and most importantly, someone who loves to create and manage SEM campaigns that deliver high ROI and conversion rates. PRINCIPAL DUTIES AND RESPONSIBILITIES SEM 80% Support the Digital Marketing team's SEM and Paid Social vision, strategy, execution and optimization for our portfolio of technology brands Have experience managing paid campaigns on Google, Facebook, LinkedIn and Twitter Monitor and optimize campaigns daily to efficiently increase conversion rates and reduce costs Conduct extensive keyword research to build a comprehensive SEM plans Grow... internal database by driving gated content on SEM and Paid Social channels Work with development team to create optimized landing pages that streamline user experience Possess a intermediate understanding of web analytics and monitor post click behavior (e.g. traffic volumes, engagements, demographics and trends Set up and troubleshoot remarketing and conversion pixels on digital properties Track and maintain all marketing tracking codes Monitor key performance metrics and complete weekly reporting Weekly & monthly budget reporting SEO 20% Understand SEO best practices Hands-on optimization; improving site and internal linking architecture, UX, page construction, meta-data, content, and SEO copywriting Track and report on campaign results and data analysis Stay abreast of latest search engine changes and updates POSITION REQUIREMENTS 2+ years of solid experience in SEM/SEO with proven track record Strong understanding of search engine algorithms and updates Experience with SEM tools, Google Analytics, Adwords, etc Must be proficient in Excel and have knowledge of pivot tables, vlookups, tables, and graphs Experience with Photoshop Must have an understanding of AdWords and Bing account structure best practices Strong written and verbal communication skills Excellent analytical & problem solving skills Exceptional attention to detail Ability to prioritize tasks, multitask and manage time efficiently Self-starter approach to work, with an eagerness to consistently meet and exceed objectives and take on more responsibility Most importantly, you must have a can-do attitude and a desire to deliver results Who We Are Informa Tech is the market-leading provider of integrated research, media, training and events to the Technology community. We're a global business of more than 600 colleagues, operating in 60 markets. Our purpose is to help drive the future by inspiring the Technology community to design, build and run a better digital world. We do this by informing, educating and connecting the community through our market-leading research, media, training and event brands. About Informa Informa is a leading business intelligence, academic publishing, knowledge and events business, operating in the Knowledge and Information Economy. We are listed on the London Stock Exchange and a member of the FTSE 100. Informa is committed to equal employment opportunity for all employees and applicants for employment without regard to age, color, creed, disability status, gender, national origin, race, religion, sexual orientation or veteran status, or any other legally protected status. What makes Informa different: Access to a global community of colleagues, brands and opportunities Competitive Benefits with a 401k match Generous vacation days, 9 company holidays and time off to volunteer! Work- Life Balance Paid parental leave Volunteer days",Informa,"New York, NY",,Digital Marketing Coordinator
,"At Brooklyness we are creating a better commute. We are a micromobility brand that cares about making commuting easier for people all across urban environments--not just people who live in the middle of the city where various bike and scooter share are likely to be deployed.

We are building the vehicles of the future that are optimized for innovative and affordable lease models, that are sturdy, easy to take on and off other forms of transportation. We want to save time for people everywhere from the Rockaways to Maspeth and Bushwick to Staten Island and we believe we can make the whole transportation system easier and more accessible for everyone.

As the Head Digital Marketing, you will lead the efforts on all matters related to our presence online.

You well organized and can efficiently schedule, manage & implement our social media calendar on a daily basis.

You are not a pro, but you can use a camera to take pictures and video.

You have basic editing skills in Premiere... Lightroom and Photoshop.

You can write awesome, engaging copy on our social media posting.

You get influencers to promote our product and company.

You can maintain and optimize our website art and copy.

You can write an awesome press release and reach out to media outlets to get media coverage.

You have done this before or have experienced first hand working in a successful startup with explosive growth.

You are quick to react and put out fires, but more importantly, you plan and execute ahead so you don’t have fires to put out.

You know a lot, and have a humble ability to share that knowledge with your team members, at the same time, you have the humility to listen to other points of views.

You get things done. You don’t wait for things to happen, you are pro-active and get results.

You don’t need to be managed. You understand the goals of the organization and align your actions to achieve those goals.

You can hire and build a team of ""A"" players.

You are driven and lead with positive and high energy demeanor.

You can sell and you can service a scooter. Everyone in the team is trained in explaining our scooters to potential customers and how to troubleshoot and fix common issues.

You are in NYC and can commit 100% to the job.

You can work on weekends. Not every weekend though. Everyone in the team is on call 24/7 to solve any issue our customers may have.

You will receive a base salary + Equity through our stock option plan. You will be joining a team in the early stages and the upside could be huge.

You understand that this is a startup job and it will require working odd hours, and the flexibility to adapt to changes and be relentless when facing difficulties.

You will be working out of our Tribeca office in NYC",BROOKLYNESS,Anywhere,,Digital Marketing Lead
166.1,"The Digital Marketing Director will develop and oversee the execution of marketing strategies to drive new customer acquisition and retention for our e-commerce brand. Working with both agency and internal partners, the Director will be responsible for the day-to-day performance of digital marketing channels.

Our ideal candidate is an entrepreneurial marketing manager who has extensive experience in many aspects of digital and performance marketing for e-commerce brands. Specifically, you have direct, hands-on experience with paid search marketing (SEM), display advertising and social media advertising, as well as other performance channels such as email marketing, affiliate marketing, organic search and social.

This role reports directly to the Founder and CEO and collaborates closely with our E-commerce, Creative and Business Development leads. This position can be located in either our LA or NYC office.

Key Responsibilities
• You have direct responsibility for driving traffic... conversions and ROI for all digital acquisition channels; you own paid search and display, social media advertising, email marketing, affiliate marketing, as well as organic search and social
• Further develop our digital marketing strategy; create and manage a promotional calendar that aligns cross-departmental campaigns
• Define and develop quarterly and annual objectives and key results across all channels
• Create and maintain robust, regular reporting at channel level for traffic, revenue, ROI and other performance KPIs; manage the annual marketing budgeting process
• Manage external agency relationships for key channels including paid search, affiliates and SEO; provide strategic direction, help prioritize tactics to improve performance, and ensure accountability for quality execution
• Identify gaps within our acquisition and retention strategies and infrastructure; drive a hiring strategy to build a best-in-class digital marketing team; lead transition of marketing agency responsibilities to in-house
• Lead in the development of ad creative and landing page creative, formulating and owning a testing schedule to drive optimization and growth through feedback, iteration, and A/B testing; inform the web development agency of key features or improvements needed for site funnel optimization
• Source and test new acquisition channels with the goal of finding efficient and scalable ways to grow the business

Key Skills / Qualifications
• 5 - 7+ years of digital marketing experience in e-commerce with a proven track record in strategic planning and development; driving customer acquisition, lifetime value and revenue growth
• Strongly KPI oriented: CAC, LTV and ROI
• Intimate understanding and application of performance marketing tactics and attribution methodologies
• Strong proficiency in Google Analytics
• Excellent leadership and team-building skills
• Entrepreneurial leader who is self-motivated and disciplined
• Highly energetic, organized and curious problem solver with can-do attitude",Splits59,"New York, NY",$85.6k–161k,Digital Marketing Director
171.9,"Job Description

Reuters News Agency is seeking an experienced, results orientated Senior Manager, Global Digital Marketing to drive our high-growth B2B marketing strategy. With a heavy focus on demand generation, the Senior Manager will create and implement high-impact digital campaigns, and utilize their extensive expertise in marketing automation to nurture leads through the funnel. With one direct report, the Senior Manager will take full ownership of all digital channels and platforms, and will be responsible for a variety of success metrics related to best practices in online and social marketing.

The scope and impact of this role is truly global. The position requires a highly analytical thinker with a deep understanding of digital marketing techniques. Strong marketing leadership, as well as the ability to operate within an international organization with nuanced marketing requirements, are critical to success.

Reuters is the world’s largest international multimedia news... provider and reaches over a billion people every day. With 2,500 journalists in nearly 200 locations around the globe, we deliver unparalleled international and national news coverage with speed, impartiality and insight to the most influential media and corporate brands. At Reuters, we are constantly innovating our products and services to meet the needs of our customers. Since 1850, we have experimented, invented, and created content and news solutions to meet the ever changing needs of customers in the digital age. Serving broadcasters, publishers, and corporates, we provide award-winning coverage across a variety of topics, including business, finance, politics, sports, entertainment, technology, health, environment, and much more.

Responsibilities:
• Set a global digital marketing strategy and execute on lead generation campaigns; nurture prospects through the marketing funnel in key geographies to deliver superior results for engagement and conversion
• Lead digital outreach as part of product launches and go-to-market activities
• Work closely with the Senior Manager, Content Marketing providing insights and results driven recommendations on the content strategy as aligned with the buyer journey
• Develop the News Agency and Reuters Community websites, as well as campaign landing pages; taking an analytical approach to best leverage these properties to engage new customers
• Monitor keyword trends in search engines such as Google, Yandex & Baidu in order to maximize SEO and increase quality traffic
• Own the direct marketing e-mail function and our Eloqua marketing platform, maintaining and updating prospect and client databases while reporting on results
• Oversee aggressive growth, engagement and lead generation targets for all online and social media channels
• Plan and executive paid digital marketing campaigns, including paid search, social media, as well as display ads
• Manage, execute and report on ROI of projects against an allocated marketing budget
• Manage a direct report to assist with all aspects of digital marketing, including email design & deployment, database management and reporting
• Represent the marketing team in a range of cross-BU initiatives, including partnering with the Product Department for the Reuters Connect platform

Qualifications:
• Ability to “self-start” and “lead from within” by enlisting the support of colleagues at all levels of the organization, seeing projects through from start to completion, and socializing results and requirements across Reuters
• Creative approach to marketing; the ability to think beyond today’s trends to effectively market our suite of products to a new customer base
• Commitment to consistent practice of “test and learn” and continuous improvement while leveraging emergent trends
• Strong knowledge of best practices in B2B lead generation across the full range of digital marketing channels, including content marketing, affiliate partnerships, email, social media, virtual events/webinars, pay-for-performance ads, SEO and SEM
• Superior organizational, written, oral, project management and quantitative skills
• Comfort with working in a complex and dynamic environment, juggling multiple priorities, interacting with people at all levels of the organization and across multiple functions
• Ability to lead direct reports to ensure they deliver superior results while developing their skills and autonomy

Requirements:
• Extensive experience in digital marketing, ideally in a B2B capacity
• Proficiency and experience with marketing automation platforms & Salesforce essential (Eloqua experience preferred)
• SEO, SEM and complete understanding of Digital Marketing Practices a must
• Good level of HTML and associated coding a must
• Bachelors (or equivalent) with a concentration in Marketing strongly preferred
• MBA or other advanced degree in Digital Marketing – advantageous

If you believe you can bring something special to this role, we want to hear from you. You may have a non-traditional career path, education or background. If you meet the minimum qualifications for this role, let us know in a cover letter with your application. Reuters depends on diversity of thought and you could be just what we need.

At Thomson Reuters, we believe what we do matters. We are passionate about our work, inspired by the impact it has on our business and our customers. As a team, we believe in winning as one - collaborating to reach shared goals, and developing through challenging and meaningful experiences. With more than 25,000 employees in more than 100 countries, we work flexibly across boundaries and realize innovations that help shape industries around the world. Making this happen is a dynamic, evolving process, and we count on each employee to be a catalyst in driving our performance - and their own.

As a global business, we rely on diversity of culture and thought to deliver on our goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

We also make reasonable accommodations for qualified individuals with disabilities and for sincerely held religious beliefs in accordance with applicable law.

Intrigued by a challenge as large and fascinating as the world itself? Come join us.

To learn more about what we offer, please visit thomsonreuters.com/careers.

More information about Thomson Reuters can be found on thomsonreuters.com.

Locations
New York-New York-United States of America",Thomson Reuters,"New York, NY",$85.9k–172k,"Senior Manager, Global Digital Marketing"
113.4,"Love data and conversions? Come join our team.

CB Insights is looking for a skilled Digital Marketing Manager who will be responsible for: website optimization, SEM, paid marketing reporting, analysis, and recommendations for improving user experience and conversion rates via testing and optimization. If you are a data-driven and a creative thinker with a knack for guiding users towards conversion, this role could be for you!

Key Responsibilities:
• Lead strategy and manage development partners for landing page optimizations, including running experiments and conversion optimization tests
• Plan, present and execute digital marketing programs (B2B) across multiple channels with extensive experience in paid media buying on channels like LinkedIn, Facebook, SEM and display advertising
• Measure and report performance of all digital marketing campaigns and identify trends, insights and key areas for optimization
• Manage and streamline our live chat tool to increase conversion rates... throughout the sales funnel

Key Requirements:
• 3-6 years experience in demand generation, digital marketing or paid media; enterprise SaaS is preferred
• Experience with marketing automation platforms (Hubspot, Marketo, Pardot), CRM (Salesforce) and analytic platforms (Google Analytics, etc)
• Deep experience in paid marketing, including Google AdWords (Search and Display) and Paid Social (LinkedIn and Twitter)
• Nimble and agile team player with ability to thrive in a fast-paced startup environment where direction and goals can pivot quickly to meet business objectives
• Avid communication with a natural attention to detail and solutions-oriented mindset
• Quantitative and data-driven thinking to marketing ideation, planning and execution

We know that diversity makes for the best problem-solving and creative thinking. We are dedicated to adding new perspectives to the team and encourage everyone to apply if your experience is close to what we are looking for.

Perks and Benefits:
• Subsidized health, dental, and vision insurance
• 401k with up to 4% match
• $1,000 yearly continuing education stipend
• Daily lunch stipend

Happy, Helpful, Humble, and Hungry: Check out more about our company culture here.

Equal Opportunity Employer: CB Insights is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

If you know someone who'd be perfect for the role,
submit here and you'll be eligible for $5,000",CB Insights,"New York, NY",$57.9k–111k,Digital Marketing Manager
,"Our client is a gobal beauty leader based in NYC . They are actively searching for a talented digtal marketer to join one of their HOTTEST brand portfolios and lead multi-platform strategy!

RESPONSIBILITIES
• Work with Global & US digital team to ensure success across all of brand's digital experiences (social, e-retail, site, email, influencers, etc).
• Drive social strategy, messaging and analytics for the brand in the US, creating innovative social campaigns that engage consumers + influencers across multiple social media and digital platforms . Establish clear guidelines and growth strategies for each platform that evolves with best practices.
• Partner with Global & US brand teams to ensure a thorough understanding of Rimmel’s priorities, product innovations and in-market launch timelines.
• Develop and manage the social media calendar - including visuals, copy, social tone of voice and messaging standards - across social media platforms including Facebook, Twitter, Instagram... YouTube, Snapchat, etc. Source content for calendar planning and balance content across brand owned and user generated content to optimize consumer engagement and brand advocacy
• Identify and retain appropriate agencies for the development of content. Manage daily working relationship with agency(ies) to oversee content creation and ensure continuity in messaging, brand imagery and quality
• Leverage global brand codes and guidelines for localized digital activations and social partnerships
• Oversee daily community management across all platforms. Escalate issues to Marketing Director and VP, and consumer affairs/legal as needed.
• Utilize search and social insight tools to rank partners/influencers in accordance to KPIs and campaign objectives; Leverage data and benchmarks to provide recommendations.
• Oversee US digital email strategy and deployment
• Track current beauty trends/news with momentum on social media and brainstorm with brand team new content ideas, reposts, retweets, regrams so that the brand is actively participating in daily social media conversations
• Understand and leverage consumer insights to provide creative solutions and activation ideas that bridge PR, social media, and e-commerce to maximize consumer engagement
• Source and vet up-and-coming social media tools, platforms, events, to maximize the brand’s social media/digital footprint.
• Maintain in-depth knowledge of emerging social media platforms, tech and digital knowledge
• Manage digital budget + 2 direct eports

REQUIREMENTS
• Bachelor’s degree required
• 5 Years’ of experience in digital/social media marketing is a must (AGENCY + IN-HOUSE WELCOME!)
• Must have a passion for and strong knowledge of digital strategy, execution, and analytics.
• Must possess strong analytical skills, highly detailed-oriented with unprompted follow-through.
• Exceptionallly strong oral and written communication and excellent computer skills.
• Need to be flexible, determined and an excellent team player.
• Ability to build, foster and nurture strong relationships and gain the respect of members of the cross-functional and affiliate teams.
• Branding/beauty/fashion experience a plus.
• Must be accountable and organized with the ability to handle a multitude of projects",The Talent Magnet,"New York, NY",,Manager - Digital Marketing + Social Media (Global Beauty Brand)
171.1,"The Head of Digital Marketing Strategy and Operations defines, manages and evangelizes our digital strategy and operations across the enterprise. In an ever-evolving digital world, the digital marketing leader will drive client-centric and global-minded strategies to enhance and innovate the effectiveness of the digital experience for our visitors, while enabling an efficient digital marketing culture supporting and driving revenue, reputation and relationships.

Reporting to the VP, Strategy and Operations, this is a highly collaborative role requiring successful interaction with business and segment marketing leads, sales and sales operations, and vendor partners. We are seeking someone who will formalize and evangelize a future state digital marketing strategy, while enabling cross-disciplinary marketing teams to deliver against KPI's, with daily guidance and decision-making.

Responsibilities:
• Understand diverse needs of the corporate, segment, regional and line-of-business... marketing teams.
• Maintain and enhance enterprise marketing technology stack to enable enterprise level efficiency and strong digital client experience.
• Oversee team efforts to establish strategies and implement programs for websites and search channels, in close partnership with segment and business marketers.
• Oversee the management of databases, and ensure data integrity via checks, tests, - best practices to maintain a high degree of confidence in all data, and derived intelligence, across the enterprise.
• Work collaboratively with segment and business marketing to effectively execute on integrated digital campaigns across all channels.
• Oversee the execution of email marketing campaigns to ensure efficiency, reach and effectiveness. Provide insight and support to segment marketing to help achieve their goals.
• Provide expertise and best practices in information design and user experience, create user journey content streams that enhance and drive greater awareness of Broadridge products and services
• Use data driven insights to create and evolve the digital user experience driving increased engagement with target audience
• Collaborate with content developers to optimize content for digital properties to drive greater engagement and maximize SEO
• Manage Global/Local digital strategy to ensure effective engagement across all global digital channels
• Stay on top of digital innovation and help us remain one of the leaders in new innovative ways to reach target audience through digital channels
• Manage the strategy, roadmap and budget for enhancement initiatives for all digital web properties
• Establish and monitor appropriate KPI's, draw from all available data and analytics sources, and leverage business intelligence tool to create comprehensive activity, and ROI reporting to measure marketing effectiveness.
• Plan, forecast and manage portfolio of vendors, agencies and consultants
• Build, coach and manage strong team of digital marketing leaders that excel in their disciplines, and effectively collaborate with cross functional teams

Qualifications:
• 15+ years in marketing preferably in FinTech or related fields
• 8+ years' experience in digital marketing at the strategic, leadership level.
• Thorough knowledge of database management, UX (User Experience), UCD (User Center Design), and email best practices.
• Creative thinking, exceptional analytical skills coupled with solid business foundation
• An innovative, positive, resilient and self-directed attitude
• Excellent oral/written communication and presentation skills
• Experience leading cross functional initiatives in a large complex global organization
• Experience building and leading a team of exceptional digital talent and highly collaborative individuals",Broadridge,"New York, NY",$43.6k–255k,Head of Digital Marketing Strategy and Operations
113.4,"About the role:

Dig is seeking a data-driven, human-centric digital marketer to own performance-based marketing efforts across our digital ecosystem. Working cross-functionally with the Brand, Creative, Tech, and Growth teams, the Digital Marketing Manager will build a holistic omni-channel strategy that optimizes our acquisition, retention, and loyalty marketing functions and drives customer LTV.

If you thrive in entrepreneurial environments, feel energized by complex challenges, and are hungry to make an impact, then this is the right opportunity for you.

You will:
• Manage digital marketing strategy and budget to achieve performance-based goals while maximizing brand building activities for all sales channels (walk-in, pickup, catering, and delivery)
• Adapt strategy to changing business priorities and/or market conditions as necessary, and execute on those changes quickly
• Drive end-to-end campaign development, partnering with Brand, Creative, Growth, Tech, and 3rd parties to... ensure that strategy delivers against KPI’s and supports business objectives
• Own and actively optimize our digital marketing channels (paid and unpaid), including social, search, CRM, email, web, referral/loyalty
• Develop, measure, and optimize KPI’s across campaigns and tactics for all areas of responsibility
• Build and manage KPI dashboards; analyze results and provide learnings & recommendations on performance improvement
• Serve as the expert on third-party digital platforms, tools, and partnerships; stay on the vanguard of emerging technologies and trends that will support us in reaching our goals
• Identify and recommend tools to refine and extend our capabilities — including social listening, audience data, push notifications, & web/app analytics
• Oversee agency and vendor relationships

You have:
• 5 years of digital experience in a marketing, analyst, or consulting capacity
• Direct, hands-on experience developing, planning, launching, and analyzing digital campaigns
• The digital marketer’s toolbox:
• Experience managing multi-channel digital campaigns, and owning a campaign from start to finish (conceptualization, design, execution, analysis)
• Understanding of when, where, and how to effectively use owned, earned, and paid media
• Ability to develop performance marketing dashboards and communicate the implications clearly and concisely
• Hands-on experience with Google Analytics, CRM Software, Google Apps, and Excel
• Deep understanding of digital UX and e-commerce conversion funnels; experience setting up and analyzing A/B tests and landing pages
• Experience creating and managing paid media campaigns on Google AdWords and Facebook Ads Manager
• Excellent project management and prioritization skills with attention to detail
• Commitment to continuously analyzing, iterating and improving performance
• Have a strong interest in growth marketing and customer acquisition concepts
• A passion for food and Dig Inn’s mission to bring people together through food

Work perks: Aside from your the standard job description fare (competitive salary, medical, dental, vision) we also offer:
• Macbook + Phone reimbursement
• Equinox gym membership plan based on eligibility
• Flexible vacation time
• Commuter benefits
• A (hypo-allergenic) dog friendly HQ
• Complimentary Dig Inn lunch everyday

About us:

Dig Inn is a farm-to-table food company with over 20 locations in New York and the Northeast, serving seasonal vegetables and culinary comfort food on an urban scale. The company is built on a culture of driven curiosity and ambitious innovation, finding and implementing new solutions to offering a simple, healthy, affordable meal. Our mission is to build a better food system (one vegetable at a time) that offers a better deal to customers, cooks, and farmers alike. Since getting started in 2011, we have focused on the essentials of our mission– building kitchens, training chefs, and developing one-on-one relationships with over 50 partner farms. The next few years will be a period of expansion, as we open in new cities and use the platform we’ve built for a better conversation around sourcing, cooking, and the business of food. And did we mention free Dig Inn for all employees? We strongly recommend the sweet potatoes.

Dig Inn believes in the power of a shared table to bring people together as we are committed to building a culturally inclusive team. Diverse candidates encouraged to apply",Dig Inn Support,"New York, NY",$57.9k–111k,Digital Marketing Manager
141.2,"The Digital Marketing Manager will be leading the vision, strategy and best practices for digital marketing including paid, owned and earned designed to expand Conductor’s market presence globally, attract new customers and help to retain current customers. This manager will take charge of the digital marketing initiative worldwide, working closely with marketing leadership to set the direction for our paid digital media initiatives including paid search, social, video and programmatic.

This role will sit on a team that’s focused on optimizing and improving upon existing demand generation processes as well as taking bold new marketing efforts to increase brand awareness and highlight the customer journey digitally from start to finish. As the digital initiatives continue to increase in the US, the manager will be responsible for bolstering the company’s digital presence, building long term relationships with their clients, increasing lead generation, and activating new opportunities... to propel the business forward through engagement in new digital channels.

Responsibilities Include:
• Create and execute all digital strategy initiatives across all regions and countries for Conductor; build road maps, foundations, and processes to help achieve digital objectives; manage digital initiatives from ideation to execution and evaluate campaign success.
• Develop, plan, and execute paid digital marketing strategies and initiatives, including SEM, paid social media, search and display advertising campaigns
• Lead a small but high performing team and agency partners with expertise in SEO, website development, social, etc. and guide them to align with broader business goals
• Oversee the spend and budgeting process, including monthly forecasting and reporting on spend and ROAS
• Develop and guide the implementation of an analytics strategy and framework and present clear conclusions informed by business goals and objectives
• Direct and manage all company web properties as well as the company's internal portals and their continued enhancements
• Work with product marketing and the brand marketing teams to continuously test and improve campaign creative, copy, and audience targeting to ensure campaign optimization
• Partner closely with brand and creative teams to ensure consistent brand experience across all customer and prospect engagement points
• Work with analytics, rev ops, and business operations to build out a customer lifetime value (LTV) model to help inform paid media investment decisions
• Develop and maintain key vendor partnerships to shape new opportunities
• Analyze cross-channel attribution performance to mine campaign performance insights and drive future campaign testing
• Successfully navigate relationships with stakeholders, team members, and clients, working cross-functionally to meet deadlines and achieve results together; provide expertise in digital marketing

Required Experience, Skills and Traits:
• 5+ years of overall professional experience with at least 3 years of focus on digital marketing including experience in consulting, B2B marketing, media planning, digital marketing, or related fields – including expertise with paid search, social and programmatic.
• Knowledge of B2B industries and client acquisition related experience
• Strong written and verbal communication skills and the ability to translate abstract concepts into actionable, digestible plans; organized with attention to detail and a proven ability to prioritize projects and meet deadlines
• Must have strong project management, PowerPoint, and Excel skills",Conductor,"New York, NY",$72.7k–137k,"Sr. Manager, Digital Marketing"
,"The Digital Marketing Manager will be leading the vision, strategy and best practices for digital marketing including paid, owned and earned designed to expand Conductor’s market presence globally, attract new customers and help to retain current customers. This manager will take charge of the digital marketing initiative worldwide, working closely with marketing leadership to set the direction for our paid digital media initiatives including paid search, social, video and programmatic.

This role will sit on a team that’s focused on optimizing and improving upon existing demand generation processes as well as taking bold new marketing efforts to increase brand awareness and highlight the customer journey digitally from start to finish. As the digital initiatives continue to increase in the US, the manager will be responsible for bolstering the company’s digital presence, building long term relationships with their clients, increasing lead generation, and activating new opportunities... to propel the business forward through engagement in new digital channels.

Responsibilities Include:
• Create and execute all digital strategy initiatives across all regions and countries for Conductor; build road maps, foundations, and processes to help achieve digital objectives; manage digital initiatives from ideation to execution and evaluate campaign success.
• Develop, plan, and execute paid digital marketing strategies and initiatives, including SEM, paid social media, search and display advertising campaigns
• Lead a small but high performing team and agency partners with expertise in SEO, website development, social, etc. and guide them to align with broader business goals
• Oversee the spend and budgeting process, including monthly forecasting and reporting on spend and ROAS
• Develop and guide the implementation of an analytics strategy and framework and present clear conclusions informed by business goals and objectives
• Direct and manage all company web properties as well as the company's internal portals and their continued enhancements
• Work with product marketing and the brand marketing teams to continuously test and improve campaign creative, copy, and audience targeting to ensure campaign optimization
• Partner closely with brand and creative teams to ensure consistent brand experience across all customer and prospect engagement points
• Work with analytics, rev ops, and business operations to build out a customer lifetime value (LTV) model to help inform paid media investment decisions
• Develop and maintain key vendor partnerships to shape new opportunities
• Analyze cross-channel attribution performance to mine campaign performance insights and drive future campaign testing
• Successfully navigate relationships with stakeholders, team members, and clients, working cross-functionally to meet deadlines and achieve results together; provide expertise in digital marketing

Required Experience, Skills and Traits:
• 5+ years of overall professional experience with at least 3 years of focus on digital marketing including experience in consulting, B2B marketing, media planning, digital marketing, or related fields – including expertise with paid search, social and programmatic.
• Knowledge of B2B industries and client acquisition related experience
• Strong written and verbal communication skills and the ability to translate abstract concepts into actionable, digestible plans; organized with attention to detail and a proven ability to prioritize projects and meet deadlines
• Must have strong project management, PowerPoint, and Excel skills",Conductor,"New York, NY",,"Sr. Manager, Digital Marketing"
