0,Linear Regression,Lasso,Ridge,Random Forest,Gradient Boost,Neural Network
ability,-28543.0,-4028.0,-10147.0,-1971.0,-917.0,3967.0
ability work,-32084.0,-3205.0,-13831.0,-11110.0,-6883.0,17127.0
able,2080973.0,5364.0,12466.0,-157.0,1.0,3928.0
action,7245.0,0.0,-732.0,-2508.0,-2255.0,8465.0
advance,0.0,0.0,0.0,0.0,0.0,0.0
algorithms,1630.0,0.0,-494.0,0.0,0.0,11658.0
analysis,5805.0,1950.0,6942.0,-29.0,1263.0,8315.0
analytical,15492.0,5728.0,15553.0,487.0,275.0,18371.0
analytics,-5676.0,0.0,-773.0,-257.0,390.0,5875.0
analyze,24306.0,9024.0,16984.0,-693.0,113.0,9472.0
application,13555.0,10565.0,9478.0,-941.0,-404.0,24414.0
applications,22020.0,0.0,10589.0,-587.0,-688.0,15947.0
apply,-27469.0,-18393.0,-20963.0,-1893.0,-1438.0,5153.0
approach,0.0,0.0,0.0,0.0,0.0,0.0
areas,2300.0,0.0,5283.0,-1112.0,-637.0,11083.0
assist,0.0,0.0,0.0,0.0,0.0,0.0
bachelor,35981.0,12740.0,13850.0,-259.0,184.0,14402.0
bachelor degree,30471.0,7628.0,18459.0,-219.0,-638.0,29486.0
background,-25011.0,-7972.0,-15334.0,39.0,-452.0,2508.0
base,0.0,0.0,0.0,0.0,0.0,0.0
benefit,0.0,0.0,0.0,0.0,0.0,0.0
best,17120.0,0.0,8224.0,-311.0,-25.0,4167.0
better,17291.0,13397.0,16275.0,-252.0,0.0,21751.0
big,55264.0,43155.0,39462.0,3585.0,6109.0,34775.0
brand,0.0,0.0,0.0,0.0,0.0,0.0
bring,0.0,0.0,0.0,0.0,0.0,0.0
build,7216.0,0.0,5898.0,209.0,1224.0,12881.0
business,-10723.0,-6951.0,-11568.0,2838.0,3020.0,1193.0
candidate,2827.0,0.0,3303.0,-485.0,59.0,13460.0
candidates,40591.0,14021.0,23320.0,237.0,429.0,22439.0
career,0.0,0.0,0.0,0.0,0.0,0.0
challenge,0.0,0.0,0.0,0.0,0.0,0.0
change,0.0,0.0,0.0,0.0,0.0,0.0
client,13924.0,0.0,9682.0,2324.0,778.0,22008.0
clients,12492.0,1526.0,11636.0,-1547.0,-1128.0,3522.0
closely,-11386.0,0.0,3032.0,-509.0,195.0,6169.0
cloud,10488.0,3169.0,9896.0,617.0,2249.0,20796.0
code,-413.0,0.0,1655.0,98.0,541.0,16723.0
collaborate,-17154.0,0.0,-1385.0,388.0,750.0,9609.0
come,0.0,0.0,0.0,0.0,0.0,0.0
commit,0.0,0.0,0.0,0.0,0.0,0.0
communicate,-15607.0,0.0,-9095.0,-158.0,-93.0,1566.0
communication,1200.0,0.0,-4237.0,13.0,-228.0,539.0
communication skills,-8438.0,-328.0,-9889.0,-463.0,1652.0,1433.0
community,2392.0,3817.0,5573.0,-1777.0,-1826.0,4576.0
company,-7312.0,0.0,-802.0,1653.0,591.0,15658.0
competitive,-37807.0,-5551.0,-19089.0,-382.0,-64.0,-2614.0
complex,43959.0,28895.0,30626.0,1907.0,2795.0,33961.0
computer,-5996.0,0.0,-9550.0,899.0,585.0,7577.0
computer science,1654.0,0.0,-1082.0,5377.0,6404.0,14502.0
core,-9850.0,0.0,-4287.0,3270.0,2224.0,8412.0
create,1379.0,0.0,-1739.0,2246.0,2939.0,13900.0
creative,-4464.0,0.0,-2285.0,287.0,855.0,5367.0
critical,37949.0,27907.0,30238.0,64.0,393.0,28358.0
culture,55444.0,20742.0,28351.0,1486.0,1929.0,17997.0
customer,-9607.0,-6830.0,-7207.0,-342.0,-268.0,1958.0
customers,-16797.0,-13199.0,-15634.0,1984.0,1128.0,2858.0
data,17191.0,2166.0,15939.0,1560.0,4427.0,10952.0
data science,1297.0,830.0,-409.0,3887.0,8631.0,12388.0
day,-37038.0,-31018.0,-27351.0,-4140.0,-431.0,-1738.0
decisions,6968.0,0.0,3414.0,-54.0,805.0,9983.0
deep,62960.0,82447.0,55615.0,2891.0,1602.0,44735.0
define,0.0,0.0,0.0,0.0,0.0,0.0
degree,22055.0,0.0,8791.0,3.0,-5.0,8959.0
